# producer=CAELIX
# when=2026-02-12T10:12:47
# cwd=
# python=
# command= /core.py --out _Output/04_confinement/04A_corral_global_sweep_optimised/20260212_101246 --corral --corral-geom sphere --traffic-mode telegraph --n 192 --traffic-iters 1 --traffic-c2 0.25 --traffic-gamma 0.001 --traffic-dt 1.0 --traffic-decay 0.0 --corral-radius 80 --corral-omega-start 0.01 --corral-omega-stop 0.62 --corral-omega-steps 1024 --corral-burn 4000 --corral-burn-frac 0.8 --corral-warm 300
# run_id=20260212_101246
# experiment=04A_corral_global_sweep_optimised
# artefact=corral
# n=192
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.25
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# corral_geom=sphere
# corral_radius=80
# corral_omega_start=0.01
# corral_omega_stop=0.62
# corral_omega_steps=1024
# corral_burn=4000
# corral_warm=300
# corral_burn_frac=0.8
# corral_amp=1.0
# corral_center_offset=0,0,0
# traffic_mode=telegraph
# traffic_dt=1
# traffic_c2=0.25
# traffic_gamma=0.001
# traffic_decay=0
# traffic_inject=1
# traffic_sponge_width=0
# traffic_sponge_strength=0
# corral_mask=dirichlet
# corral_geom=sphere
# corral_radius=80
# corral_inside_count=2143611
# corral_omega_start=0.01
# corral_omega_stop=0.62
# corral_omega_steps=1024
# corral_burn_in=4000
# corral_meas_start=3200
# corral_meas_len=800
# corral_warm_steps=300
# corral_burn_frac=0.8
# corral_amp=1
# corral_center_offset=0,0,0
i_omega,omega,e_phi,e_vel,e_tot,e_tot_std,e_tot_max,e_ratio,peak_phi,peak_vel
34,0.030273704789833822,26.147928677891727,0.0251287405059066,26.173057418397683,19.209019183983234,65.23315240037626,0.000961022221509736,1.0154595375061035,0.030772658064961433
35,0.030869990224828933,29.147812510496614,0.02820186504728672,29.176014375543946,21.212936808405093,68.53382140116192,0.000967546536712825,1.0192971229553223,0.03157108649611473
36,0.031466275659824045,31.009271021543114,0.03128743404981959,31.040558455592997,22.25908492612481,69.2491951663896,0.0010089703182020054,1.0217307806015015,0.032276447862386703
37,0.03206256109481916,34.01707890914034,0.03531225617198638,34.05239116531229,24.409709041183486,76.54791118272402,0.001038074323380453,1.024985909461975,0.032959941774606705
38,0.032658846529814274,37.88414982348644,0.03760395980550972,37.92175378329205,26.86992027914392,90.81600031441302,0.0009926040304643708,1.0275354385375977,0.033439598977565765
39,0.033255131964809385,44.95844718640738,0.05047299906234628,45.008920185469734,32.35546904322653,103.25327553249596,0.0011226588599262172,1.0301413536071777,0.03429561108350754
40,0.0338514173998045,48.418304415144796,0.05931490598174551,48.47761932112655,36.08957183265162,119.08141653090101,0.0012250512837700927,1.032509446144104,0.03517760708928108
41,0.03444770283479961,55.947439738167375,0.0650837398990344,56.012523478066356,41.043371016961665,146.96389625555767,0.0011633014880327592,1.0401121377944946,0.035807374864816666
42,0.03504398826979472,85.32133489301839,0.10659085332253884,85.42792574634095,60.39172899226902,186.1364656348333,0.0012492872205549569,1.0441663265228271,0.03688579797744751
43,0.03564027370478983,88.59440698593991,0.11004522793798514,88.70445221387787,64.58957754258992,218.49260964642994,0.0012421238730730292,1.0501737594604492,0.03764672949910164
44,0.03623655913978495,133.23917784420698,0.16665451152993274,133.40583235573683,96.24027620178741,333.83039264814386,0.0012507921035417688,1.0648581981658936,0.03845841437578201
45,0.03683284457478006,236.44622241525394,0.33768452406007426,236.78390693931362,169.61592573003958,496.0292976018539,0.0014281662891912105,1.076813817024231,0.03995579108595848
46,0.03742913000977517,258.3707689899038,0.37608102467965215,258.74685001458346,187.08488620193006,593.0374072851594,0.0014555865826073636,1.0826904773712158,0.04068617895245552
47,0.03802541544477028,817.9119419544738,1.1316060379119626,819.0435479923846,569.5228595812096,1794.4542925529165,0.0013835304020722416,1.14629328250885,0.04341403394937515
48,0.038621700879765394,2222.8824907111375,3.37532945908543,2226.257820170225,1579.3357807735347,4533.276918968895,0.001518447094342627,1.1729249954223633,0.04519994929432869
49,0.039217986314760506,2891.6331679294567,4.447810511864019,2896.0809784413186,2030.6786750577871,6081.986706754735,0.0015381655464440727,1.011444091796875,0.039827022701501846
50,0.039814271749755624,1748.3369843323856,2.7244509588743218,1751.06143529126,1218.5585571048437,3515.5108075840335,0.001558309973013967,0.8675733208656311,0.03445439413189888
51,0.040410557184750735,491.27492030681196,0.8031101733659972,492.07803048017814,347.5558314711937,1124.4956299267762,0.0016347469414160927,0.9106807708740234,0.03704396262764931
52,0.04100684261974585,222.0803167502757,0.3970339806631199,222.47735073093844,163.1223276753304,540.6261445949701,0.0017877945532182118,0.9472543597221375,0.03884659707546234
53,0.04160312805474096,197.85345387083282,0.33353941655155195,198.18699328738458,138.99063105047102,412.1791421072231,0.001685790215061391,0.9486933350563049,0.03950651362538338
54,0.04219941348973607,90.75145077152402,0.15933309787135463,90.91078386939546,63.92676009499455,225.05871959783184,0.0017557085480924169,0.9697393774986267,0.041046395897865295
55,0.04279569892473119,79.05079137389636,0.14335026397332068,79.19414163786969,58.11607135085544,189.92835577821185,0.001813394419991285,0.9772601127624512,0.04187588393688202
56,0.0433919843597263,66.79493903079643,0.1237542505420916,66.91869328133845,48.71607811574929,154.53221208263636,0.0018527489108872712,0.9819450974464417,0.04291049391031265
57,0.04398826979472141,42.43782358722549,0.08620197254512045,42.524025559770635,30.49395397693744,101.19445070004107,0.0020312533786738932,0.9878571033477783,0.04357102885842323
58,0.04458455522971652,42.77125762992748,0.08609767055443561,42.857355300481906,31.202454322824806,96.39316092145619,0.002012979634580354,0.9897340536117554,0.04424845799803734
59,0.04518084066471163,36.94732700748906,0.07223535893344726,37.019562366422456,26.663484739258745,90.38923074427338,0.0019550902537226445,0.995053231716156,0.04514836519956589
60,0.045777126099706744,31.648874246697588,0.0652708394449082,31.714145086142494,22.5623800907659,75.71687481140125,0.0020623431638083257,0.999893307685852,0.045892879366874695
61,0.04637341153470186,29.357112660544836,0.06418383878651636,29.421296499331387,21.283677960843374,72.3861914566809,0.002186313059075987,1.002101182937622,0.04686891660094261
62,0.046969696969696974,27.971280155262008,0.061532397489262765,28.032812552751302,20.077947718834224,69.15902507884009,0.0021998420218062482,1.005806565284729,0.04781511053442955
63,0.047565982404692085,26.58968514785421,0.061862718130188836,26.651547865984394,19.022715993252085,61.90716949683234,0.002326568283384839,1.0094516277313232,0.04812406748533249
64,0.048162267839687196,25.25189572123641,0.058899346690358775,25.31079506792678,18.18184502264072,64.10811446163298,0.002332472276163532,1.0092175006866455,0.048725325614213943
65,0.04875855327468231,27.546593265548676,0.06211734459057869,27.608710610139287,19.3448386911869,65.05125804279517,0.0022549918965211533,1.013207197189331,0.049827102571725845
66,0.04935483870967742,26.400973749363207,0.06486551640830793,26.465839265771542,18.555509929073445,55.12576104476072,0.002456936513937106,1.0185551643371582,0.050679098814725876
