# producer=CAELIX
# when=2026-02-12T03:55:01
# cwd=
# python=
# command= /core.py --out _Output/03_interaction/03D_coulomb_opposite_decay0_sponge_boundary/20260212_035500 --coulomb --n 512 --traffic-mode diffuse --traffic-iters 10000 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --coulomb-max-iters 10000 --coulomb-check-every 200 --coulomb-tol 1e-4 --traffic-decay 0.0 --coulomb-sign opposite --coulomb-d-min 4 --coulomb-d-max 48 --coulomb-d-step 4
# run_id=20260212_035500
# experiment=03D_coulomb_opposite_decay0_sponge_boundary
# artefact=coulomb
# n=512
# traffic_mode=diffuse
# traffic_iters=10000
# seed=6174
# coulomb_sign=opposite
# coulomb_q=1.0
# coulomb_d_min=4
# coulomb_d_max=48
# coulomb_d_step=4
# coulomb_max_iters=10000
# coulomb_check_every=200
# coulomb_tol=0.0001
# coulomb_tp_rate_rise=1
# coulomb_tp_rate_fall=1
# fit_metric=E_int_grad
# fit_d_min_used=4
# fit_d_max_used=48
# traffic_boundary=hard
# traffic_sponge_width=32
# traffic_sponge_strength=1
# coulomb_renorm_d_far=48
# coulomb_renorm_E_int_phi_far=-39.1564482199
# coulomb_renorm_E_int_grad_far=-0.0240173673832
# coulomb_pred_invr_yhat_far=-0.0167729433103
# coulomb_pred_yuk_yhat_far=-0.0274055329307
sign,q,d,x1,x2,c,safe,iters_pair,iters_self1,iters_self2,self2_reused,iters_self_logical,iters_self,pair_converged,pair_max_delta,self1_converged,self1_max_delta,self2_converged,self2_max_delta,E_pair_phi,E_pair_grad,E_self1_phi,E_self1_grad,E_self2_phi,E_self2_grad,E_self_phi,E_self_grad,E_int_phi,E_int_grad,E_int_phi_renorm,E_int_grad_renorm,fit_metric,fit_n,fit_d_min,fit_d_max,invr_A,invr_B,invr_r2,invr_yhat,invr_resid,invr_yhat_renorm,invr_resid_renorm,yuk_A,yuk_B,yuk_k,yuk_r2,yuk_half_range,yuk_yhat,yuk_resid,yuk_yhat_renorm,yuk_resid_renorm
opposite,1.0,4,254,258,256,8,1800,7800,0,1,15600,7800,1,9.586010128259659e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,7.925788972042601,4.7344765766580785,66.69412887676381,3.040365051756644,66.69412887676381,3.040365051756644,133.38825775352763,6.080730103513288,-125.46246878148503,-1.3462535268552092,-86.30602056159451,-1.3222361594720198,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-1.3373098307476672,-0.008943696107541976,-1.3205368874373191,-0.0016992720347006607,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-1.3454345287958833,-0.0008189980593258372,-1.3180289958651774,-0.004207163606842368
opposite,1.0,8,252,260,256,8,2000,7800,0,1,15600,7800,1,9.459070861339569e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,17.762737845156572,5.4742714159329875,66.6941288766936,3.0403650517572514,66.6941288766936,3.0403650517572514,133.3882577533872,6.080730103514503,-115.62551990823061,-0.6064586875815152,-76.4690716883401,-0.5824413201983258,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-0.617016983054584,0.010558295473068746,-0.6002440397442359,0.017802719545910062,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-0.6101417912943587,0.0036831037128435273,-0.5827362583636528,0.0002949381653269967
opposite,1.0,12,250,262,256,8,2000,7800,0,1,15600,7800,1,9.778700768947601e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,27.05578118493949,5.712910700869461,66.69412887657042,3.040365051758222,66.69412887657042,3.040365051758222,133.38825775314083,6.080730103516444,-106.33247656820134,-0.3678194026469832,-67.17602834831082,-0.3438020352637938,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-0.3769193671568896,0.00909996450990641,-0.3601464238465416,0.016344388582747782,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-0.36777195243813887,-4.745020884433515e-05,-0.34036641950743296,-0.003435615756360866
opposite,1.0,16,248,264,256,8,2000,7800,0,1,15600,7800,1,9.81474295258522e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,35.86461315386592,5.830553747528589,66.69412887637557,3.040365051759732,66.69412887637557,3.040365051759732,133.38825775275114,6.080730103519464,-97.52364459888523,-0.25017635599087473,-58.367196378994706,-0.22615898860768535,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-0.2568705592080424,0.006694203217167682,-0.2400976158976944,0.013938627290009054,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-0.2484744306833543,-0.0017019253075204188,-0.22106889775264837,-0.005090090855036977
opposite,1.0,20,246,266,256,8,2000,7800,0,1,15600,7800,1,9.658187627792358e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,44.26257557998913,5.900230537128279,66.69412887608219,3.0403650517619063,66.69412887608219,3.0403650517619063,133.38825775216438,6.080730103523813,-89.12568217217525,-0.18049956639553333,-49.969233952284725,-0.15648219901234395,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-0.1848412744387341,0.004341708043200776,-0.1680683311283861,0.011586132116042147,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-0.1782889221724355,-0.0022106442230978296,-0.15088338924172956,-0.005598809770614388
opposite,1.0,24,244,268,256,8,2000,7800,0,1,15600,7800,1,9.387452155351639e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,52.310779883987,5.946109794795154,66.69412887564887,3.0403650517650087,66.69412887564887,3.0403650517650087,133.38825775129774,6.080730103530017,-81.07747786731073,-0.13462030873486341,-41.92102964742021,-0.11060294135167403,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-0.1368217512591952,0.002201442524331798,-0.1200488079488472,0.00944586659717317,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-0.1325695361770088,-0.002050772557854602,-0.10516400324630289,-0.005438938105371147
opposite,1.0,28,242,270,256,8,2000,7800,0,1,15600,7800,1,9.040534496307373e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,60.0592669091339,5.978526321120673,66.6941288750358,3.0403650517694754,66.6941288750358,3.0403650517694754,133.3882577500716,6.080730103538951,-73.3289908409377,-0.10220378241827799,-34.172542621047185,-0.07818641503508861,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-0.10252209184523886,0.00031830942696087217,-0.08574914853489085,0.007562733499802243,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-0.1007597136113511,-0.001444068806926893,-0.07335418068064517,-0.004832234354443438
opposite,1.0,32,240,272,256,8,2000,7800,0,1,15600,7800,1,8.66428017616272e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,67.54910519056226,6.0026362958502055,66.69412887413219,3.040365051775848,66.69412887413219,3.040365051775848,133.38825774826438,6.080730103551696,-65.83915255770212,-0.07809380770149055,-26.6827043378116,-0.05407644031830117,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-0.07679734728477161,-0.0012964604167189364,-0.0600244039744236,0.005947963656122435,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-0.07758599058263194,-0.0005078171188586111,-0.05018045765192601,-0.0038959826663751557
opposite,1.0,36,238,274,256,8,1800,7800,0,1,15600,7800,1,9.563099592924118e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,74.33879191830827,6.020063108709183,66.6941288728795,3.040365051784655,66.6941288728795,3.040365051784655,133.388257745759,6.08073010356931,-59.04946582745073,-0.060666994860127055,-19.89301760756021,-0.036649627476937674,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-0.05678921262663039,-0.0038777822334966627,-0.04001626931628238,0.0033666418393447084,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-0.060122614059033075,-0.0005443808010939799,-0.03271708112832715,-0.0039325463486105244
opposite,1.0,40,236,276,256,8,1800,7800,0,1,15600,7800,1,9.432993829250336e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,81.09180350709603,6.034556675050441,66.69412887108794,3.0403650517969414,66.69412887108794,3.0403650517969414,133.38825774217588,6.080730103593883,-52.29645423507985,-0.046173428543442085,-13.140006015189329,-0.022156061160252705,E_int_grad,12,4.0,48.0,-5.762342781544666,0.10327586463849919,0.9996949252959887,-0.040782704900117456,-0.00539072364332463,-0.024009761589769446,0.0018537004295167414,-5.917822024727034,0.019466115126146617,0.02014812030075188,0.9999723140875718,34.4025730546228,-0.04661741123466427,0.00044398269122218614,-0.019211878303958343,-0.002944182856294362
