# producer=CAELIX
# when=2026-02-11T17:31:31
# cwd=
# python=
# command= /core.py --out _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130 --n 512 --steps 0 --traffic-iters 250000 --traffic-rate 0.10 --traffic-inject 1.0 --traffic-decay 0.0 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --k-index 1.0 --X0 8000 --ds 1.0 --eps 0.005 --delta-load --dump-radial _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130/_csv/01B_pipeline_baseline_sponge_boundary_radial_n512_20260211_173130.csv --dump-radial-fit _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130/_csv/01B_pipeline_baseline_sponge_boundary_radial_fit_n512_20260211_173130.csv --dump-shapiro _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130/_csv/01B_pipeline_baseline_sponge_boundary_shapiro_n512_20260211_173130.csv
# run_id=20260211_173130
# n=512
# steps=0
# traffic_iters=250000
# seed=6174
# lattice_init=sparse
# artefact=radial
r,mean_phi,count,std_phi
47.0,0.06054236367344856,28136,0.0011745152296498418
48.0,0.05854898318648338,29568,0.001127882394939661
49.0,0.05663479492068291,31016,0.0010832673870027065
50.0,0.054793354123830795,32112,0.001035720226354897
51.0,0.05303901061415672,33248,0.0009919182630255818
52.0,0.05136028677225113,34448,0.0009518290753476322
53.0,0.04975088685750961,35736,0.0009148981771431863
54.0,0.048190172761678696,37976,0.0008839060901664197
55.0,0.04668578878045082,38400,0.0008440564852207899
56.0,0.04524785280227661,40616,0.000816680898424238
57.0,0.04386918619275093,40680,0.0007797859143465757
58.0,0.042538706213235855,43856,0.0007585931452922523
59.0,0.04125169292092323,43904,0.0007244889275170863
60.0,0.04002370685338974,45816,0.000700573727954179
61.0,0.0388309471309185,47816,0.000677797943353653
62.0,0.037667639553546906,49776,0.0006550431135110557
63.0,0.03655003011226654,50768,0.0006301747052930295
64.0,0.03548331931233406,51656,0.000606343150138855
65.0,0.034456804394721985,53592,0.0005867208237759769
66.0,0.03345399349927902,56168,0.0005693446728400886
67.0,0.03248588368296623,56664,0.000547694624401629
68.0,0.031555064022541046,59096,0.0005315851885825396
69.0,0.030652422457933426,60216,0.0005128600168973207
70.0,0.02977747842669487,62816,0.0004980579251423478
71.0,0.0289265438914299,64448,0.00048192497342824936
72.0,0.02810455672442913,66120,0.0004661637358367443
73.0,0.027311401441693306,67592,0.0004507401608861983
74.0,0.026536503806710243,70992,0.0004392279079183936
75.0,0.025785701349377632,71504,0.0004235284577589482
76.0,0.025067228823900223,72984,0.00040982963400892913
77.0,0.024372214451432228,74792,0.00039713061414659023
78.0,0.023693358525633812,78152,0.00038694587419740856
79.0,0.023034943267703056,78504,0.00037360028363764286
80.0,0.022394396364688873,82952,0.00036505627213045955
81.0,0.021772777661681175,82320,0.00035113931517116725
82.0,0.021173126995563507,86120,0.0003426990006119013
83.0,0.020589381456375122,87120,0.0003316804941277951
84.0,0.020021680742502213,90392,0.00032299591111950576
