# producer=CAELIX
# when=2026-02-11T23:28:47
# cwd=
# python=
# command= /core.py --out _Output/02_interference/02B_double_slit_two_slit/20260211_232846 --double-slit --ds-source sine --ds-omega 0.80 --ds-gun-speed 0.0 --ds-burn 600 --ds-window 200 --ds-sample-every 4 --ds-amp 1000.0 --traffic-mode telegraph --traffic-gamma 0.0001 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --n 512 --ds-wall-x 256 --ds-detector-x 470 --ds-gun-stop 246 --ds-steps 5000 --ds-slit-sep 64 --ds-slit-width 8 --ds-sample-every 1
# run_id=20260211_232846
# experiment=02B_double_slit_two_slit
# artefact=double_slit
# n=512
# ds_steps=5000
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.25
# traffic_gamma=0.0001
# traffic_dt=1.0
# traffic_decay=0.0
# double-slit
# n=512 steps=5000 wall_x=256 detector_x=470 cz=256 cy=256
# slits: slit_sep=64 slit_width=8 single_slit=0 y1=[216:224] y2=[288:296] z=[0:512)
# detector: line_y at x=470, z=256; intensity=phi^2
# detector_y=[32:480) boundary=sponge sponge_width=32 sponge_strength=1
# gun: start=10 stop=246 speed=0
# src: mode=sine amp=1000 omega=0.8 half_period=0
# chirality: select=0 field=none
# sampling: burn=600 sample_every=1 samples=4400 window=200
# dump_samples=0
# section:pattern_mean
y,y_off,intensity,intensity_norm
32,-224,2.76701748534e-13,0.000144531816385
33,-223,2.92187107977e-13,0.00015262040686
34,-222,2.89541396127e-13,0.00015123845123
35,-221,2.68584489922e-13,0.000140291864388
36,-220,2.31985614608e-13,0.000121174883903
37,-219,1.87766945049e-13,9.80777959256e-05
38,-218,1.39435073632e-13,7.28322266359e-05
39,-217,9.39515463721e-14,4.90744555148e-05
40,-216,5.61905584762e-14,2.93504595589e-05
41,-215,2.76814774633e-14,1.44590854202e-05
42,-214,1.020753351e-14,5.33178184391e-06
43,-213,2.39278029433e-15,1.2498398871e-06
44,-212,2.76193420173e-15,1.44266297205e-06
45,-211,9.26598684716e-15,4.83997631642e-06
46,-210,2.05766377708e-14,1.0747958218e-05
47,-209,3.61870853053e-14,1.8901886947e-05
48,-208,5.63065420229e-14,2.94110421637e-05
49,-207,8.2004587326e-14,4.28341057507e-05
50,-206,1.13407509475e-13,5.92370428554e-05
51,-205,1.49321877297e-13,7.79964791188e-05
52,-204,1.86944315366e-13,9.76481052462e-05
53,-203,2.21322787333e-13,0.00011560528486
54,-202,2.4541428352e-13,0.00012818918692
55,-201,2.53737675631e-13,0.000132536810261
56,-200,2.41437472513e-13,0.000126111947722
57,-199,2.07007216389e-13,0.000108127719279
58,-198,1.55804668128e-13,8.13826866113e-05
59,-197,9.76117825703e-14,5.09863356852e-05
60,-196,4.74832618767e-14,2.48023083456e-05
61,-195,2.27708920872e-14,1.18941004583e-05
62,-194,3.93957005753e-14,2.05778683802e-05
63,-193,1.078657893e-13,5.63423922539e-05
64,-192,2.30573107821e-13,0.000120437078043
65,-191,3.96053978625e-13,0.000206874012255
66,-190,5.81989286481e-13,0.000303995074615
67,-189,7.63382499918e-13,0.000398743628813
68,-188,9.03208100038e-13,0.000471779842243
69,-187,9.69774367391e-13,0.000506549928018
70,-186,9.52853469664e-13,0.000497711501458
71,-185,8.48672538514e-13,0.000443293850354
72,-184,6.73989019659e-13,0.000352050024081
73,-183,4.71488235086e-13,0.000246276185033
74,-182,2.91709137736e-13,0.000152370744877
75,-181,1.87427365686e-13,9.79004207464e-05
76,-180,2.03482065466e-13,0.00010628639927
77,-179,3.63522694673e-13,0.00018988168899
78,-178,6.61600733445e-13,0.000345579152401
79,-177,1.06436844915e-12,0.00055596000413
80,-176,1.51169354591e-12,0.000789614865698
81,-175,1.91736828265e-12,0.00100151416476
82,-174,2.20282928119e-12,0.00115062126959
83,-173,2.3175064294e-12,0.0012105214929
84,-172,2.22836182514e-12,0.00116395788554
85,-171,1.94197795235e-12,0.00101436872849
86,-170,1.5226824804e-12,0.000795354802909
87,-169,1.06718850019e-12,0.00055743302373
88,-168,6.81937854356e-13,0.00035620200188
89,-167,4.70074900469e-13,0.000245537946766
90,-166,5.08326713289e-13,0.000265518319193
91,-165,8.24574202968e-13,0.000430706375837
92,-164,1.38902649743e-12,0.000725541214482
93,-163,2.11979608316e-12,0.00110724988146
94,-162,2.89313427439e-12,0.00151119374539
95,-161,3.55830569931e-12,0.00185863800535
96,-160,3.98154643047e-12,0.00207971268944
97,-159,4.08948693729e-12,0.00213609410949
98,-158,3.85990116439e-12,0.00201617275391
99,-157,3.32180773877e-12,0.00173510615205
100,-156,2.58746689147e-12,0.00135153207972
101,-155,1.8260791775e-12,0.000953830403258
102,-154,1.20734519731e-12,0.000630642181679
103,-153,8.77171854207e-13,0.000458180123695
104,-152,9.33171079469e-13,0.000487430642661
105,-151,1.39788679236e-12,0.000730169282521
106,-150,2.20811730358e-12,0.00115338340422
107,-149,3.2266647991e-12,0.00168540938664
108,-148,4.2776463758e-12,0.00223437691963
109,-147,5.17601894178e-12,0.00270363097906
110,-146,5.7479927719e-12,0.00300239460101
111,-145,5.87418464269e-12,0.00306830940059
112,-144,5.53754136803e-12,0.002892467852
113,-143,4.82249785292e-12,0.00251897350807
114,-142,3.87479593017e-12,0.00202395285492
115,-141,2.87754948376e-12,0.00150305321823
116,-140,2.03561690195e-12,0.00106327990286
117,-139,1.53183023406e-12,0.000800133021549
118,-138,1.48099003851e-12,0.000773577259442
119,-137,1.9087785608e-12,0.000997027427295
120,-136,2.75043153301e-12,0.00143665469197
121,-135,3.86594949669e-12,0.00201933202724
122,-134,5.06259403602e-12,0.00264438484947
123,-133,6.12415554662e-12,0.00319887868315
124,-132,6.85694142599e-12,0.00358164053676
125,-131,7.13972742711e-12,0.003729350389
126,-130,6.94621552545e-12,0.00362827178437
127,-129,6.33131767001e-12,0.00330708731623
128,-128,5.41273478336e-12,0.00282727663989
129,-127,4.36339244445e-12,0.00227916534296
130,-126,3.38706633686e-12,0.00176919319258
131,-125,2.67171915377e-12,0.00139554023135
132,-124,2.35003249415e-12,0.00122751108998
133,-123,2.47882803853e-12,0.00129478588701
134,-122,3.03306227906e-12,0.0015842834486
135,-121,3.91370390921e-12,0.00204427596785
136,-120,4.96744933024e-12,0.00259468716155
