# producer=CAELIX
# when=2026-02-16T05:53:31
# cwd=
# python=
# command= /core.py --out _Output/08_solitons/08E_sine_gordon_breather_baseline/20260216_055330 --soliton --traffic-mode sine_gordon --traffic-boundary sponge --traffic-sponge-width 24 --traffic-sponge-strength 0.2 --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0 --soliton-steps 12000 --soliton-sigma-start 4.0 --soliton-sigma-stop 4.0 --soliton-sigma-steps 1 --soliton-sg-k-start 0.42 --soliton-sg-k-stop 0.50 --soliton-sg-k-steps 9 --soliton-sg-amp-start 5.0 --soliton-sg-amp-stop 5.0 --soliton-sg-amp-steps 1 --soliton-lambda-start 0.0 --soliton-lambda-stop 0.0 --soliton-lambda-steps 1
# run_id=20260216_055330
# experiment=08E_sine_gordon_breather_baseline
# artefact=soliton_scan
# n=192
# seed=6174
# traffic_mode=sine_gordon
# traffic_c2=0.31
# traffic_gamma=0.0
# traffic_dt=0.05
# traffic_decay=0.0
# traffic_boundary=sponge
# traffic_sponge_width=24
# traffic_sponge_strength=0.2
# soliton_k=0.01
# soliton_lambda_start=0.0
# soliton_lambda_stop=0.0
# soliton_lambda_steps=1
# soliton_steps=12000
# soliton_sigma=4.0
# soliton_sigma_start=4.0
# soliton_sigma_stop=4.0
# soliton_sigma_steps=1
# soliton_amp=100.0
# soliton_init_vev=0
# soliton_vev_sign=1
# soliton_sg_k_start=0.42
# soliton_sg_k_stop=0.5
# soliton_sg_k_steps=9
# soliton_sg_amp_start=5.0
# soliton_sg_amp_stop=5.0
# soliton_sg_amp_steps=1
idx,lambda,k,sigma,amp,sg_k,sg_amp,init_vev,vev_sign,phi0,steps,traffic_mode,traffic_boundary,traffic_sponge_width,traffic_sponge_strength,traffic_inject,traffic_decay,traffic_gamma,traffic_dt,traffic_c2,crop_r,src_peak,E_land,E_final,E_ratio,Rg_land,Rg_final,Rg_ratio,Rg_dev_land,Rg_dev_final,Rg_dev_ratio,peak_final,peak_final_crop,peak_dev_land,peak_dev_final,peak_dev_ret,peak_land,peak_land_over_pi,peak_final_over_pi,peak_ret,peak_ret_crop,peak_x_land,peak_y_land,peak_z_land,peak_r_land,peak_x_final,peak_y_final,peak_z_final,peak_r_final,peak_move,cm_dx_land,cm_dy_land,cm_dz_land,cm_r_land,cm_dx_final,cm_dy_final,cm_dz_final,cm_r_final,frac_abs_phi_gt_pi_over2_land,frac_abs_phi_gt_pi_land,frac_abs_phi_gt_2pi_land,frac_abs_phi_gt_pi_over2_final,frac_abs_phi_gt_pi_final,frac_abs_phi_gt_2pi_final,outer_shell_abs_ratio_land,outer_shell_abs_ratio_final,E_land_phys,E_final_phys,E_ratio_phys,E_land_phys_shifted,E_final_phys_shifted,E_ratio_phys_shifted,mean_phi_land,mean_phi_final,mean_abs_phi_land,mean_abs_phi_final,mean_phi_outer_land,mean_phi_outer_final,mean_abs_phi_outer_land,mean_abs_phi_outer_final,mean_phi_shell_land,mean_phi_shell_final,mean_abs_phi_shell_land,mean_abs_phi_shell_final,phi_std_shell_land,phi_std_shell_final,delta_outer_shell_land,delta_outer_shell_final,phi_std_outer_land,phi_std_outer_final,phi_p50_outer_land,phi_p50_outer_final,phi_std_land,phi_std_final,phi_p01_land,phi_p01_final,phi_p05_land,phi_p05_final,phi_p16_land,phi_p16_final,phi_p50_land,phi_p50_final,phi_p84_land,phi_p84_final,phi_p95_land,phi_p95_final,phi_p99_land,phi_p99_final,E_land_kin,E_land_grad,E_land_stiff,E_land_phi4,E_land_sine,E_final_kin,E_final_grad,E_final_stiff,E_final_phi4,E_final_sine,vev_theory,mean_phi_final_err,mean_phi_final_abs_err,vel_abs_max_land,vel_abs_max_final,vel_abs_ratio,E_land_kin_frac,E_final_kin_frac,candidate_score,cm_v,peak_v,vel_rms_land,vel_rms_final,vel_rms_ratio,lap_abs_max_land,lap_abs_max_final,lap_abs_ratio,dE_fast,dE_fast_per_step,dE_phys_shifted,dE_phys_shifted_per_step,status,fail_kind,fail_msg,wall_s,tail_win,tail_vel_rms_min,tail_vel_rms_mean,tail_vel_rms_max,tail_lap_abs_max,tail_dE_phys_shifted_per_step_mean,tail_dE_phys_shifted_per_step_abs_max,tail_frac_abs_phi_gt_pi_min,tail_frac_abs_phi_gt_pi_max,tail_frac_abs_phi_gt_2pi_min,tail_frac_abs_phi_gt_2pi_max,tail_peak_dev_max
0,0.0,0.42,4.0,5.0,0.42,5.0,0,1,0.0,12000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,24,5.0,8931.59765625,1972.7177734375,0.22086952965879128,4.898978926208687,2.734767294455581,0.5582321001270388,4.898978926208687,2.734767294455581,0.5582321001270388,3.6813712120056152,3.6813712120056152,0.25,3.6813712120056152,14.725484848022461,0.25,0.07957747154594767,1.171816851493791,14.725484848022461,14.725484848022461,96,96,96,0.0,97,97,97,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,0.0,0.8283573280861563,0.8283573280861563,0.8283573280861563,1.4347569790672243,0.0,0.0,0.0,0.0002464959328171085,3.399943900925635e-05,0.0,276075878.5376651,2.7329561400830054,4459.652038481236,768.5518202209473,0.1723344811633965,4459.652038481236,768.5518202209473,0.1723344811633965,0.0021416842937469482,-0.0011485147988423705,0.0021416842937469482,0.004586042836308479,0.0002760759089142084,0.0003033718967344612,0.00027607587981037796,0.0016462525818496943,-9.220022150210174e-21,-0.00018145122504897314,4.610011075105087e-21,0.0006023706546079946,2.4005236603460836e-11,0.0015479962492119992,0.0002760759089142084,0.00048482312178343436,0.004932369105517864,0.018414750695228577,0.0,4.10064312745817e-05,0.013591660186648369,0.050953835248947144,0.0,-0.03147481754422188,0.0,-0.002312393393367529,0.0,-0.00011906895088031888,0.0,0.0012168934335932136,5.086709279567003e-05,0.0035328359808772802,0.005028948653489351,0.005019202828407288,0.06728658825159073,0.007052892353385687,4454.662109375,0.3211437439918518,0.0,0.0,4.668785362243653,699.099365234375,25.845687103271484,0.0,0.0,43.606767883300776,0.0,-0.0011485147988423705,0.0011485147988423705,5.0,9.238121032714844,1.8476242065429687,0.9988810945196668,0.909632046715333,0.247703545956967,0.00011957304600943614,0.0001443495964304423,0.27518722727230394,0.10901601822406144,0.39615217357522065,0.04615020751953125,4.080751419067383,88.42325177715325,-6958.8798828125,-0.5799549864832486,-3691.1002182602883,-0.30761731963166,ok,,,70.53847079118714,512,0.014551436190923172,0.11050154500276739,0.19213689954198948,7.975645065307617,-1.4682183032458829,51.99895529299974,0.0,0.00014449761578933946,0.0,0.0,5.49810791015625
1,0.0,0.42925402848419203,4.0,5.0,0.42925402848419203,5.0,0,1,0.0,12000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,24,5.0,8931.59765625,3259.614013671875,0.3649530732489857,4.898978926208687,2.383100366532298,0.48644838086220876,4.898978926208687,2.383100366532298,0.48644838086220876,2.8836326599121094,2.8836326599121094,0.25,2.8836326599121094,11.534530639648438,0.25,0.07957747154594767,0.9178887837724852,11.534530639648438,11.534530639648438,96,96,96,0.0,96,96,96,0.0,0.0,0.0,0.0,0.0,0.0,0.2514388121883338,0.25143881218833386,0.2514388121883338,0.43550479770496286,0.0,0.0,0.0,0.00016999719504628174,0.0,0.0,276075878.5376651,2.8734294171679875,4459.7549077020185,1441.942172434954,0.3233231875466324,4459.7549077020185,1441.942172434954,0.3233231875466324,0.0021416842937469482,-0.0006485999329015613,0.0021416842937469482,0.0037668494042009115,0.0002760759089142084,0.0006070412346161902,0.00027607587981037796,0.001603785203769803,-9.220022150210174e-21,-3.509979592155948e-05,4.610011075105087e-21,0.0005581432386381853,2.4005236603460836e-11,0.0015519139599504692,0.0002760759089142084,0.0006421410305377497,0.004932369105517864,0.014492856338620186,0.0,0.00026038617943413556,0.013591660186648369,0.03991838917136192,0.0,-0.021717993542551994,0.0,-0.001977716339752078,0.0,-2.382416365435345e-05,0.0,0.0012000355636700988,5.086709279567003e-05,0.0029734265990555286,0.005028948653489351,0.004230089485645294,0.06728658825159073,0.006571964360773563,4454.662109375,0.3211437439918518,0.0,0.0,4.771654583026465,1394.25634765625,16.692876319885254,0.0,0.0,30.992948458818677,0.0,-0.0006485999329015613,0.0006485999329015613,5.0,11.379794120788574,2.2759588241577147,0.9988580542131983,0.9669294471787458,0.3010435483084061,3.6295091066335764e-05,0.0,0.27518722727230394,0.15395443769077982,0.5594534281870519,0.04615020751953125,3.2830076217651367,71.1374400727393,-5671.983642578125,-0.47270469560614425,-3017.8127352670645,-0.25150535338503743,ok,,,140.87758250022307,512,0.017396879584589995,0.11423772550109937,0.19260735660582173,7.816093444824219,2.49169437114461,52.46616525764159,0.0,9.349845727545496e-05,0.0,0.0,5.374784469604492
2,0.0,0.43871195469025603,4.0,5.0,0.43871195469025603,5.0,0,1,0.0,12000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,24,5.0,8931.59765625,1800.8133544921875,0.20162275818952113,4.898978926208687,2.517861468744222,0.5139563788025501,4.898978926208687,2.517861468744222,0.5139563788025501,3.8218801021575928,3.8218801021575928,0.25,3.8218801021575928,15.287520408630371,0.25,0.07957747154594767,1.2165422203258778,15.287520408630371,15.287520408630371,96,96,96,0.0,97,97,97,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,0.0,0.6696466244494937,0.6696466244494937,0.6696466244494939,1.1598619766635183,0.0,0.0,0.0,0.00029749509133099306,6.79988780185127e-05,0.0,276075878.5376651,3.2607488829676963,4459.860043481609,672.7454971736616,0.1508445311320756,4459.860043481609,672.7454971736616,0.1508445311320756,0.0021416842937469482,0.003863160265609622,0.0021416842937469482,0.004256339743733406,0.0002760759089142084,0.0014927269658073783,0.00027607587981037796,0.0017890039598569274,-9.220022150210174e-21,0.0002431152867215085,4.610011075105087e-21,0.0005486481850659893,2.4005236603460836e-11,0.0016202108540307998,0.0002760759089142084,0.0012496116790858699,0.004932369105517864,0.01894533447921276,0.0,0.0005419399822130799,0.013591660186648369,0.05237019062042236,0.0,-0.0033487065229564905,0.0,-0.0015221800422295928,0.0,7.386710087303107e-05,0.0,0.0010042405920103192,5.086709279567003e-05,0.002146452199667692,0.005028948653489351,0.004582428466528645,0.06728658825159073,0.038722459226846695,4454.662109375,0.3211437439918518,0.0,0.0,4.876790362617066,598.168212890625,28.099161376953123,0.0,0.0,46.4781229060835,0.0,0.003863160265609622,0.003863160265609622,5.0,7.359984874725342,1.4719969749450683,0.9988345073486765,0.8891448778232619,0.2754312392416465,9.666321999029239e-05,0.0001443495964304423,0.27518722727230394,0.1008399325092354,0.36644118082359983,0.04615020751953125,4.383846282958984,94.99082492974046,-7130.7843017578125,-0.5942815486088684,-3787.1145463079474,-0.3156191804573671,ok,,,211.15290354099125,512,0.01729846533256414,0.11308723643535554,0.19256020296108659,7.859016418457031,-1.495818821187252,53.86710998404888,0.0,9.349845727545496e-05,0.0,0.0,5.422110557556152
3,0.0,0.4483782711784922,4.0,5.0,0.4483782711784922,5.0,0,1,0.0,12000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,24,5.0,8931.59765625,871.4425048828125,0.09756849092648161,4.898978926208687,2.5160714433871076,0.5135909913648663,4.898978926208687,2.5160714433871076,0.5135909913648663,5.255915641784668,5.255915641784668,0.25,5.255915641784668,21.023662567138672,0.25,0.07957747154594767,1.6730099097280828,21.023662567138672,21.023662567138672,96,96,96,0.0,95,95,95,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,0.0,-0.7197333458960753,-0.7197333458960753,-0.7197333458960753,1.2466147229935474,0.0,0.0,0.0,0.00037399382910181984,9.349845727545496e-05,0.0,276075878.5376651,2.93897061402197,4459.967495760007,157.5560978959789,0.035326736808231,4459.967495760007,157.5560978959789,0.035326736808231,0.0021416842937469482,-0.004153135232627392,0.0021416842937469482,0.004900076892226934,0.0002760759089142084,0.0005057371454313397,0.00027607587981037796,0.0018424998270347714,-9.220022150210174e-21,0.0005585046057871271,4.610011075105087e-21,0.0006269201247896612,2.4005236603460836e-11,0.0018016439520801156,0.0002760759089142084,-5.276746035578735e-05,0.004932369105517864,0.024043306708335876,0.0,0.0005152829107828438,0.013591660186648369,0.06655470281839371,0.0,-0.048972406387329095,0.0,-0.005870018154382702,0.0,-0.0020762633066624403,0.0,-4.110653753741644e-05,5.086709279567003e-05,0.0006671770242974162,0.005028948653489351,0.0019895458593964465,0.06728658825159073,0.0036200687754899263,4454.662109375,0.3211437439918518,0.0,0.0,4.984242641014903,50.081504821777344,44.76225265502929,0.0,0.0,62.712340419172236,0.0,-0.004153135232627392,0.004153135232627392,5.0,2.193779230117798,0.43875584602355955,0.9988104428137534,0.3178645922980523,0.23240293272777646,0.00010389321801763041,0.0001443495964304423,0.27518722727230394,0.029178271394373765,0.10603061662270107,0.04615020751953125,7.670419692993164,166.2055298396429,-8060.1551513671875,-0.6717355739117583,-4302.411397864028,-0.3585641635022942,ok,,,281.3530844580382,512,0.020385147219106007,0.10880441329574303,0.19223423345558951,7.670419692993164,-0.42943322925355387,54.389519746780294,0.0,9.349845727545496e-05,0.0,0.0,5.320849418640137
4,0.0,0.458257569495584,4.0,5.0,0.458257569495584,5.0,0,1,0.0,12000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,24,5.0,8931.59765625,1100.759765625,0.12324332196656096,4.898978926208687,2.598766829917256,0.530471118382303,4.898978926208687,2.598766829917256,0.530471118382303,4.981173038482666,4.981173038482666,0.25,4.981173038482666,19.924692153930664,0.25,0.07957747154594767,1.5855566229411842,19.924692153930664,19.924692153930664,96,96,96,0.0,97,97,97,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,0.0,0.7162535861434256,0.7162535861434257,0.7162535861434256,1.2405876023038247,0.0,0.0,0.0,0.00037399382910181984,9.349845727545496e-05,0.0,276075878.5376651,2.373276184087145,4460.07731557756,297.30170042885885,0.06665841854141931,4460.07731557756,297.30170042885885,0.06665841854141931,0.0021416842937469482,-0.0052584875375032425,0.0021416842937469482,0.005682917777448893,0.0002760759089142084,-0.0002721349592320621,0.00027607587981037796,0.0015571566764265299,-9.220022150210174e-21,0.0006146411022558463,4.610011075105087e-21,0.0006561211394164802,2.4005236603460836e-11,0.0018805401491274667,0.0002760759089142084,-0.0008867760614879084,0.004932369105517864,0.02269585058093071,0.0,7.20583411748521e-05,0.013591660186648369,0.06281984597444534,0.0,-0.05058894008398056,0.0,-0.010603945702314377,0.0,-0.004261914175003767,0.0,-0.0008824262185953557,5.086709279567003e-05,0.0003383759467396885,0.005028948653489351,0.0015333106275647879,0.06728658825159073,0.002717453641816981,4454.662109375,0.3211437439918518,0.0,0.0,5.094062458567466,196.9405517578125,40.36954376220703,0.0,0.0,59.99160490883934,0.0,-0.0052584875375032425,0.0052584875375032425,5.0,5.366109371185303,1.0732218742370605,0.9987858492534095,0.6624265904760215,0.20831508766705784,0.00010339091610166053,0.0001443495964304423,0.27518722727230394,0.05786133628374641,0.21026170748285244,0.04615020751953125,7.1064300537109375,153.98479087452472,-7830.837890625,-0.6526242095695475,-4162.775615148701,-0.34692687850226694,ok,,,351.7038035830483,512,0.04495924652527238,0.1144767400022618,0.18465585228246906,7.548389434814453,-3.4294618327118416,55.22680535982382,0.0,9.349845727545496e-05,0.0,0.0,5.217421054840088
5,0.0,0.4683545423556048,4.0,5.0,0.4683545423556048,5.0,0,1,0.0,12000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,24,5.0,8931.59765625,3518.513427734375,0.3939399828733049,4.898978926208687,3.0104104029539838,0.6144975204626438,4.898978926208687,3.0104104029539838,0.6144975204626438,1.90935218334198,1.90935218334198,0.25,1.90935218334198,7.63740873336792,0.25,0.07957747154594767,0.6077656761643578,7.63740873336792,7.63740873336792,96,96,96,0.0,95,95,95,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,0.0,-0.8190807754235514,-0.8190807754235515,-0.8190807754235515,1.4186895185365045,0.0,0.0,0.0,3.399943900925635e-05,0.0,0.0,276075878.5376651,3.016087112861313,4460.189555099207,1594.0611171816715,0.35739761673564463,4460.189555099207,1594.0611171816715,0.35739761673564463,0.0021416842937469482,-0.0005449863383546472,0.0021416842937469482,0.00287301791831851,0.0002760759089142084,-0.0008469027234241366,0.00027607587981037796,0.0015064600156620145,-9.220022150210174e-21,9.736812973671138e-05,4.610011075105087e-21,0.0004994749674908339,2.4005236603460836e-11,0.0015862752735509875,0.0002760759089142084,-0.000944270853160848,0.004932369105517864,0.008782616816461086,0.0,-0.0004796121211256832,0.013591660186648369,0.023839488625526428,0.0,-0.010032245889306068,0.0,-0.0071579450741410255,0.0,-0.003457736922428012,0.0,-0.0007837457815185189,5.086709279567003e-05,0.00033636876847594583,0.005028948653489351,0.001513657858595252,0.06728658825159073,0.003516767406836152,4454.662109375,0.3211437439918518,0.0,0.0,5.206301980214696,1573.0531005859375,7.105464324951172,0.0,0.0,13.902552270783069,0.0,-0.0005449863383546472,0.0005449863383546472,5.0,12.336461067199707,2.4672922134399413,0.9987607150647023,0.9868210720597235,0.20445837352331572,0.0001182339793763234,0.0001443495964304423,0.27518722727230394,0.16352817259541483,0.5942433237775241,0.04615020751953125,2.247918128967285,48.70873284840469,-5413.084228515625,-0.45112794637183307,-2866.128437917535,-0.23886394182161305,ok,,,422.0180389159359,512,0.01675089221886849,0.10758426352395044,0.18409612958438717,8.467060089111328,2.557533165553628,55.4802379559106,0.0,9.349845727545496e-05,0.0,0.0,5.501444339752197
6,0.0,0.4786739858690798,4.0,5.0,0.4786739858690798,5.0,0,1,0.0,12000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,24,5.0,8931.59765625,3821.171630859375,0.4278262163080601,4.898978926208687,2.2980267289106124,0.46908279531813624,4.898978926208687,2.2980267289106124,0.46908279531813624,2.195298194885254,2.195298194885254,0.25,2.195298194885254,8.781192779541016,0.25,0.07957747154594767,0.6987851185534063,8.781192779541016,8.781192779541016,96,96,96,0.0,96,96,96,0.0,0.0,0.0,0.0,0.0,0.0,0.23348437445111456,0.23348437445111464,0.23348437445111456,0.40440679932276713,0.0,0.0,0.0,6.79988780185127e-05,0.0,0.0,276075878.5376651,2.4157486667440127,4460.30426763926,1761.5699076194041,0.3949438876625706,4460.30426763926,1761.5699076194041,0.3949438876625706,0.0021416842937469482,0.0020096709486097097,0.0021416842937469482,0.002410090994089842,0.0002760759089142084,-0.0007818673620931804,0.00027607587981037796,0.0016017674934118986,-9.220022150210174e-21,-0.0006148866450461836,4.610011075105087e-21,0.0006630522094647535,2.4005236603460836e-11,0.0017105096970956735,0.0002760759089142084,-0.00016698071704699682,0.004932369105517864,0.009968585334718227,0.0,-0.0001702621957520023,0.013591660186648369,0.026866856962442398,0.0,-0.0025865163188427687,0.0,-0.0013187121367082,0.0,-0.0003477204008959234,0.0,0.0008018657681532204,5.086709279567003e-05,0.001953502418473363,0.005028948653489351,0.003016383806243534,0.06728658825159073,0.014363397993148187,4454.662109375,0.3211437439918518,0.0,0.0,5.321014520267582,1735.21923828125,8.814375629425049,0.0,0.0,17.536293708729147,0.0,0.0020096709486097097,0.0020096709486097097,5.0,12.561006546020508,2.5122013092041016,0.9987350283914048,0.9850413717762898,0.2555391879279922,3.370337522483266e-05,0.0,0.27518722727230394,0.171750523412541,0.6241224388026919,0.04615020751953125,2.6593170166015625,57.62307819474293,-5110.426025390625,-0.42590432747650847,-2698.7343600198556,-0.22491327277438583,ok,,,492.52595770778134,512,0.019595627267150632,0.11136175438236383,0.1891228094136208,8.280635833740234,3.2061883742506225,56.36377047763589,0.0,9.349845727545496e-05,0.0,0.0,5.426980495452881
7,0.0,0.4892208018211612,4.0,5.0,0.4892208018211612,5.0,0,1,0.0,12000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,24,5.0,8931.59765625,4466.05322265625,0.5000284825337012,4.898978926208687,11.825364140575997,2.413842622860113,4.898978926208687,11.825364140575997,2.413842622860113,0.21787714958190918,0.21787714958190918,0.25,0.21787714958190918,0.8715085983276367,0.25,0.07957747154594767,0.06935245068546625,0.8715085983276367,0.8715085983276367,96,96,96,0.0,98,98,99,4.123105625617661,4.123105625617661,0.0,0.0,0.0,0.0,0.4340490666898722,0.43404906668987236,0.4340490666898722,0.7517950364847108,0.0,0.0,0.0,0.0,0.0,0.0,276075878.5376651,2.3199545331347573,4460.421507686725,2089.3618736397607,0.4684225179255202,4460.421507686725,2089.3618736397607,0.4684225179255202,0.0021416842937469482,0.0021943054161965847,0.0021416842937469482,0.0026652859523892403,0.0002760759089142084,0.0008508004830218852,0.00027607587981037796,0.00154662667773664,-9.220022150210174e-21,-0.0003100772652311271,4.610011075105087e-21,0.0006666624941683062,2.4005236603460836e-11,0.0017761422990729817,0.0002760759089142084,0.0011608777482530123,0.004932369105517864,0.002474263310432434,0.0,0.0006157126044854522,0.013591660186648369,0.004291077144443989,0.0,-0.0025684782303869724,0.0,-0.0013768329517915845,0.0,-0.0005315814632922411,0.0,0.0010364728514105082,5.086709279567003e-05,0.005126479547470808,0.005028948653489351,0.00934368371963501,0.06728658825159073,0.013220553286373615,4454.662109375,0.3211437439918518,0.0,0.0,5.438254567732715,2088.441650390625,0.2521332961320877,0.0,0.0,0.6680899530037158,0.0,0.0021943054161965847,0.0021943054161965847,5.0,14.975431442260742,2.9950862884521485,0.9987087771185302,0.9995595673201729,0.025516337055512452,6.26548076076932e-05,0.0003436207705323494,0.27518722727230394,0.18842218258680993,0.6847054074946652,0.04615020751953125,0.3821448087692261,8.280456997024302,-4465.54443359375,-0.37215971610915494,-2371.059634046964,-0.19760476990140546,ok,,,563.0747414580546,512,0.016538121812819984,0.11323831583869573,0.18842218258680993,9.175933837890625,1.053381637970546,57.23938850981803,0.0,9.349845727545496e-05,0.0,0.0,5.739127159118652
8,0.0,0.5,4.0,5.0,0.5,5.0,0,1,0.0,12000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,24,5.0,8931.59765625,2647.071533203125,0.2963715602830366,4.898978926208687,2.2153884973422424,0.4522143350097504,4.898978926208687,2.2153884973422424,0.4522143350097504,3.268781900405884,3.268781900405884,0.25,3.268781900405884,13.075127601623535,0.25,0.07957747154594767,1.040485594677832,13.075127601623535,13.075127601623535,96,96,96,0.0,96,96,96,0.0,0.0,0.0,0.0,0.0,0.0,-0.4014815807428232,-0.40148158074282325,-0.4014815807428233,0.6953864961496364,0.0,0.0,0.0,0.0002464959328171085,3.399943900925635e-05,0.0,276075878.5376651,2.538533353925632,4460.541330931187,1135.8781632995606,0.25465029444361936,4460.541330931187,1135.8781632995606,0.25465029444361936,0.0021416842937469482,0.0010345519986003637,0.0021416842937469482,0.0033537917770445347,0.0002760759089142084,0.0011245053028687835,0.00027607587981037796,0.0019477515015751123,-9.220022150210174e-21,0.0006810948165306833,4.610011075105087e-21,0.0007672743381624442,2.4005236603460836e-11,0.0016904490808446622,0.0002760759089142084,0.0004434104863381002,0.004932369105517864,0.015121799893677235,0.0,-2.950759380837553e-06,0.013591660186648369,0.0415678396821022,0.0,-0.003189168870449066,0.0,-0.0026166998781263825,0.0,-0.0021602523047477007,0.0,-0.0011607096530497074,5.086709279567003e-05,0.0003931050014216453,0.005028948653489351,0.0020229362417012453,0.06728658825159073,0.022646925225856006,4454.662109375,0.3211437439918518,0.0,0.0,5.558077812194824,1079.5233154296875,21.242970428466798,0.0,0.0,35.11187744140625,0.0,0.0010345519986003637,0.0010345519986003637,5.0,10.717597961425781,2.1435195922851564,0.99868194886674,0.9503865381951084,0.28383327118540447,5.795370415448258e-05,0.0,0.27518722727230394,0.13546805382721597,0.49227595034113736,0.04615020751953125,4.5478973388671875,98.54554471813523,-6284.526123046875,-0.523754156433609,-3324.6631676316265,-0.27707835383212154,ok,,,635.119777165819,512,0.021262061694461428,0.1124702090499666,0.18751367907410915,9.036382675170898,-1.3939441964066315,56.79241802066565,0.0,8.499859752314087e-05,0.0,0.0,5.629508972167969
