# producer=CAELIX
# when=2026-02-18T09:41:42
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09D_collidersg_kink_walls/20260218_094141 --collidersg --collidersg-scenario D --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.2,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[132,96,96],"vel":[-0.2,0.0,0.0],"phase":0.0}] --collidersg-steps 10000 --collidersg-log-every 1 --collidersg-track-r 14 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.05 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_094141
# experiment=09D_collidersg_kink_walls
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.05
# asset_sg_k=nan
# sg_k_inferred=0
# steps=10000
# log_every=1
# phi_abs_every=100
# track_r=14
# peak_thresh=0.001
# sprite_count=2
# scenario=D
# sprites_src=inline_json
# sprite_asset_h5=
# artefact=sg_collision_tracks
# scenario=D
# sprites_digest=11b1f712ce33
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# vel0_abs_max=0.172105
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
23,1,59.935,1.000,1.000,0.06462,-0.00000,-0.00001,0.813675,ALIVE,12.566370,0.367
23,2,131.065,1.000,1.000,-0.06470,0.00000,-0.00000,0.813672,ALIVE,12.566370,0.367
24,1,59.938,1.000,1.000,0.06462,0.00000,0.00000,0.811533,ALIVE,12.566370,0.376
24,2,131.062,1.000,1.000,-0.06470,0.00000,0.00000,0.811529,ALIVE,12.566370,0.376
25,1,59.941,1.000,1.000,0.06454,0.00000,-0.00000,0.809371,ALIVE,12.566370,0.385
25,2,131.059,1.000,1.000,-0.06439,-0.00000,-0.00000,0.809367,ALIVE,12.566370,0.385
26,1,59.944,1.000,1.000,0.06447,0.00000,0.00000,0.807203,ALIVE,12.566370,0.393
26,2,131.056,1.000,1.000,-0.06439,0.00001,0.00001,0.807199,ALIVE,12.566370,0.393
27,1,59.948,1.000,1.000,0.06416,0.00000,0.00000,0.805042,ALIVE,12.566370,0.402
27,2,131.052,1.000,1.000,-0.06439,-0.00000,-0.00000,0.805037,ALIVE,12.566370,0.402
28,1,59.951,1.000,1.000,0.06386,-0.00000,0.00000,0.802900,ALIVE,12.566370,0.411
28,2,131.049,1.000,1.000,-0.06378,0.00000,0.00000,0.802896,ALIVE,12.566370,0.411
29,1,59.954,1.000,1.000,0.06355,0.00000,-0.00000,0.800791,ALIVE,12.566370,0.419
29,2,131.046,1.000,1.000,-0.06348,0.00000,0.00000,0.800786,ALIVE,12.566370,0.419
30,1,59.957,1.000,1.000,0.06302,0.00000,0.00000,0.798726,ALIVE,12.566370,0.428
30,2,131.043,1.000,1.000,-0.06287,0.00000,0.00000,0.798721,ALIVE,12.566370,0.428
31,1,59.960,1.000,1.000,0.06248,0.00000,-0.00000,0.796717,ALIVE,12.566370,0.436
31,2,131.040,1.000,1.000,-0.06256,0.00000,0.00000,0.796712,ALIVE,12.566370,0.436
32,1,59.963,1.000,1.000,0.06180,0.00000,0.00000,0.794773,ALIVE,12.566370,0.445
32,2,131.037,1.000,1.000,-0.06195,0.00000,0.00000,0.794768,ALIVE,12.566370,0.445
33,1,59.966,1.000,1.000,0.06119,0.00000,0.00001,0.792904,ALIVE,12.566370,0.454
33,2,131.034,1.000,1.000,-0.06104,-0.00000,-0.00000,0.792900,ALIVE,12.566370,0.454
34,1,59.969,1.000,1.000,0.06027,-0.00000,-0.00000,0.791118,ALIVE,12.566370,0.462
34,2,131.031,1.000,1.000,-0.06012,-0.00000,-0.00000,0.791114,ALIVE,12.566370,0.462
35,1,59.972,1.000,1.000,0.05943,0.00000,-0.00000,0.789422,ALIVE,12.566370,0.471
35,2,131.028,1.000,1.000,-0.05951,0.00001,0.00001,0.789418,ALIVE,12.566370,0.471
36,1,59.975,1.000,1.000,0.05859,0.00000,0.00000,0.787822,ALIVE,12.566370,0.479
36,2,131.025,1.000,1.000,-0.05859,-0.00000,-0.00000,0.787818,ALIVE,12.566370,0.479
37,1,59.978,1.000,1.000,0.05753,0.00000,0.00000,0.786323,ALIVE,12.566370,0.488
37,2,131.022,1.000,1.000,-0.05737,-0.00000,-0.00000,0.786319,ALIVE,12.566370,0.488
38,1,59.981,1.000,1.000,0.05653,-0.00000,-0.00001,0.784929,ALIVE,12.566370,0.497
38,2,131.019,1.000,1.000,-0.05676,0.00000,0.00000,0.784925,ALIVE,12.566370,0.497
39,1,59.984,1.000,1.000,0.05554,0.00000,0.00001,0.783642,ALIVE,12.566370,0.506
39,2,131.016,1.000,1.000,-0.05524,0.00000,-0.00000,0.783637,ALIVE,12.566370,0.506
40,1,59.987,1.000,1.000,0.05447,-0.00000,-0.00000,0.782465,ALIVE,12.566370,0.514
40,2,131.013,1.000,1.000,-0.05463,0.00000,0.00001,0.782459,ALIVE,12.566370,0.514
41,1,59.989,1.000,1.000,0.05341,-0.00000,0.00000,0.781398,ALIVE,12.566370,0.523
41,2,131.011,1.000,1.000,-0.05341,0.00000,-0.00000,0.781393,ALIVE,12.566370,0.523
42,1,59.992,1.000,1.000,0.05249,0.00000,-0.00000,0.780441,ALIVE,12.566370,0.532
42,2,131.008,1.000,1.000,-0.05249,0.00000,0.00000,0.780437,ALIVE,12.566370,0.532
43,1,59.994,1.000,1.000,0.05150,-0.00000,0.00000,0.779594,ALIVE,12.566370,0.540
43,2,131.006,1.000,1.000,-0.05127,0.00000,0.00000,0.779591,ALIVE,12.566370,0.540
44,1,59.997,1.000,1.000,0.05058,0.00000,0.00000,0.778857,ALIVE,12.566370,0.549
44,2,131.003,1.000,1.000,-0.05066,-0.00001,-0.00001,0.778852,ALIVE,12.566370,0.549
45,1,59.999,1.000,1.000,0.04974,-0.00000,-0.00001,0.778226,ALIVE,12.566370,0.557
45,2,131.001,1.000,1.000,-0.04974,0.00000,0.00001,0.778222,ALIVE,12.566370,0.557
46,1,60.002,1.000,1.000,0.04890,0.00000,0.00000,0.777701,ALIVE,12.566370,0.566
46,2,130.998,1.000,1.000,-0.04883,0.00000,-0.00000,0.777698,ALIVE,12.566370,0.566
47,1,60.004,1.000,1.000,0.04829,0.00000,0.00000,0.777278,ALIVE,12.566370,0.574
47,2,130.996,1.000,1.000,-0.04852,0.00000,0.00000,0.777275,ALIVE,12.566370,0.574
48,1,60.007,1.000,1.000,0.04768,-0.00000,-0.00001,0.776956,ALIVE,12.566370,0.583
48,2,130.993,1.000,1.000,-0.04761,0.00000,0.00000,0.776953,ALIVE,12.566370,0.583
49,1,60.009,1.000,1.000,0.04730,0.00000,0.00000,0.776731,ALIVE,12.566370,0.592
49,2,130.991,1.000,1.000,-0.04730,-0.00000,-0.00001,0.776729,ALIVE,12.566370,0.592
50,1,60.011,1.000,1.000,0.04684,0.00000,0.00000,0.776601,ALIVE,12.566370,0.600
50,2,130.989,1.000,1.000,-0.04669,0.00000,0.00000,0.776598,ALIVE,12.566370,0.600
51,1,60.014,1.000,1.000,0.04662,-0.00000,-0.00001,0.776563,ALIVE,12.566370,0.611
51,2,130.986,1.000,1.000,-0.04669,0.00000,0.00001,0.776559,ALIVE,12.566370,0.611
52,1,60.016,1.000,1.000,0.04639,0.00000,0.00000,0.776613,ALIVE,12.566370,0.621
52,2,130.984,1.000,1.000,-0.04639,-0.00000,-0.00000,0.776609,ALIVE,12.566370,0.621
53,1,60.018,1.000,1.000,0.04639,-0.00000,0.00000,0.776750,ALIVE,12.566370,0.630
53,2,130.982,1.000,1.000,-0.04639,0.00000,0.00000,0.776746,ALIVE,12.566370,0.630
54,1,60.021,1.000,1.000,0.04639,0.00000,0.00000,0.776969,ALIVE,12.566370,0.641
54,2,130.979,1.000,1.000,-0.04639,-0.00000,-0.00001,0.776965,ALIVE,12.566370,0.641
55,1,60.023,1.000,1.000,0.04654,0.00000,-0.00000,0.777269,ALIVE,12.566370,0.652
55,2,130.977,1.000,1.000,-0.04639,0.00000,0.00000,0.777265,ALIVE,12.566370,0.652
56,1,60.025,1.000,1.000,0.04662,-0.00000,-0.00001,0.777645,ALIVE,12.566370,0.661
56,2,130.975,1.000,1.000,-0.04669,0.00000,0.00000,0.777641,ALIVE,12.566370,0.661
57,1,60.028,1.000,1.000,0.04692,-0.00000,0.00000,0.778095,ALIVE,12.566370,0.670
57,2,130.972,1.000,1.000,-0.04700,-0.00000,-0.00000,0.778092,ALIVE,12.566370,0.670
58,1,60.030,1.000,1.000,0.04715,0.00000,0.00000,0.778617,ALIVE,12.566370,0.680
58,2,130.970,1.000,1.000,-0.04700,0.00000,0.00000,0.778614,ALIVE,12.566370,0.680
59,1,60.032,1.000,1.000,0.04753,-0.00000,-0.00000,0.779206,ALIVE,12.566370,0.688
59,2,130.968,1.000,1.000,-0.04761,-0.00000,-0.00000,0.779203,ALIVE,12.566370,0.688
60,1,60.035,1.000,1.000,0.04784,0.00000,0.00000,0.779859,ALIVE,12.566370,0.699
60,2,130.965,1.000,1.000,-0.04761,0.00000,0.00000,0.779857,ALIVE,12.566370,0.699
61,1,60.037,1.000,1.000,0.04822,0.00000,0.00000,0.780573,ALIVE,12.566370,0.711
61,2,130.963,1.000,1.000,-0.04822,0.00000,0.00000,0.780571,ALIVE,12.566370,0.711
