# producer=CAELIX
# when=2026-02-25T11:46:46
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06D_relativity_twin_paradox_threshold_lock/20260225_114645 --relativity --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --rel-L 48 --rel-v-frac 0.3 --rel-v-frac-ref 0.1 --rel-steps 1500 --rel-slab 8 --rel-amp 500 --rel-sigma 2.25 --rel-threshold 0.01 --rel-refractory 10
# run_id=20260225_114645
# experiment=06D_relativity_twin_paradox_threshold_lock
# artefact=relativity
# n=512
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# rel_steps=1500
# rel_L=48
# rel_v_frac=0.3
# rel_v_frac_ref=0.1
# rel_v_ref=0.05567764362830022
# rel_v=0.16703293088490065
# rel_slab=8
# rel_amp=500.0
# rel_sigma=2.25
# rel_threshold=0.01
# rel_refractory=10
t,x_s,x_s_f,x_m,v_ref,a_sx,a_sy,b_sx,b_sy,a_mx,a_my,b_mx,b_my,phi_sa,phi_sb,phi_ma,phi_mb,e_sa,e_sb,e_ma,e_mb,hit_sa,hit_sb,hit_ma,hit_mb,hits_sa,hits_sb,hits_ma,hits_mb,T0_est,Tp_est,c_axis_est,c_diag_est,ratio_est,gamma_corr_est,gamma_pred_axis,anisotropy_A,ratio_pred,ratio_err,gamma_sr
318,32,31.705491,67,0.0556776,32,232,32,280,67,232,67,280,-1.882244492e+01,-3.685588455e+01,2.727630424e+01,-2.126558304e+01,1.601465379e+05,8.480320298e+05,2.676605188e+05,4.922618150e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
319,32,31.761168,67,0.0556776,32,232,32,280,67,232,67,280,-2.162691879e+01,-2.445936775e+01,1.546548462e+01,-1.830179214e+01,1.419751910e+05,9.322301038e+05,2.052689951e+05,3.298076250e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
320,32,31.816846,67,0.0556776,32,232,32,280,67,232,67,280,-2.294781494e+01,-5.450500965e+00,4.378594398e+00,-1.564825344e+01,2.141834024e+05,1.052236681e+06,1.650522611e+05,3.603879523e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
321,32,31.872524,68,0.0556776,32,232,32,280,68,232,68,280,-2.304904747e+01,1.937069511e+01,2.389981508e+00,-1.511565781e+01,3.813871538e+05,1.254181132e+06,1.751813733e+05,4.132731820e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
322,32,31.928201,68,0.0556776,32,232,32,280,68,232,68,280,-2.241625977e+01,4.857538605e+01,-6.187901974e+00,-1.064683819e+01,6.199294091e+05,1.574193924e+06,1.417967609e+05,6.202654902e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
323,32,31.983879,68,0.0556776,32,232,32,280,68,232,68,280,-2.171032715e+01,8.026441193e+01,-1.247570419e+01,-3.453416348e+00,8.842746411e+05,2.029269317e+06,1.139519610e+05,8.993202861e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
324,32,32.039557,68,0.0556776,32,232,32,280,68,232,68,280,-2.171874809e+01,1.122808456e+02,-1.603787422e+01,7.115272522e+00,1.123568200e+06,2.608575578e+06,8.728182387e+04,1.195030811e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
325,32,32.095234,68,0.0556776,32,232,32,280,68,232,68,280,-2.333708954e+01,1.423981781e+02,-1.666908455e+01,2.126146317e+01,1.300332309e+06,3.268471499e+06,6.189798596e+04,1.473843492e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
326,32,32.150912,68,0.0556776,32,232,32,280,68,232,68,280,-2.750132370e+01,1.684499969e+02,-1.451361942e+01,3.877461243e+01,1.402575514e+06,3.937027960e+06,4.158310049e+04,1.729820290e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
327,32,32.206589,69,0.0556776,32,232,32,280,69,232,69,280,-3.497793961e+01,1.884474030e+02,-1.400566101e+01,4.456497192e+01,1.444575654e+06,4.529997002e+06,3.621669468e+04,1.804247838e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
328,32,32.262267,69,0.0556776,32,232,32,280,69,232,69,280,-4.605030823e+01,2.007639160e+02,-1.032975674e+01,6.628883362e+01,1.457465503e+06,4.973299646e+06,3.322983767e+04,2.069051708e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
329,32,32.317945,69,0.0556776,32,232,32,280,69,232,69,280,-6.028266907e+01,2.044092560e+02,-5.501389503e+00,8.969188690e+01,1.474878175e+06,5.222806180e+06,4.505909081e+04,2.357151706e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
330,32,32.373622,69,0.0556776,32,232,32,280,69,232,69,280,-7.652021027e+01,1.993083038e+02,-5.635317564e-01,1.132724686e+02,1.519443117e+06,5.272948721e+06,6.922164841e+04,2.672722409e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
331,32,32.429300,69,0.0556776,32,232,32,280,69,232,69,280,-9.310459137e+01,1.864405823e+02,3.386613607e+00,1.352042999e+02,1.593923082e+06,5.150866976e+06,9.907168237e+04,2.995225790e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
332,32,32.484978,69,0.0556776,32,232,32,280,69,232,69,280,-1.081460037e+02,1.677228088e+02,5.481334209e+00,1.534196930e+02,1.678786827e+06,4.900151655e+06,1.255023996e+05,3.281944411e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
333,33,32.540655,70,0.0556776,33,232,33,280,70,232,70,280,-1.128785782e+02,1.438155518e+02,2.477700949e+00,1.602203217e+02,1.683222630e+06,4.500714227e+06,1.515114040e+05,3.406910434e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
334,33,32.596333,70,0.0556776,33,232,33,280,70,232,70,280,-1.220573120e+02,1.240067902e+02,2.153029203e+00,1.705650330e+02,1.712075878e+06,4.195978420e+06,1.632595485e+05,3.572526369e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
335,33,32.652011,70,0.0556776,33,232,33,280,70,232,70,280,-1.254832611e+02,1.055974274e+02,-2.197431624e-01,1.728475342e+02,1.658779641e+06,3.835016064e+06,1.576151773e+05,3.593995272e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
336,33,32.707688,70,0.0556776,33,232,33,280,70,232,70,280,-1.220824585e+02,8.945271301e+01,-4.297286034e+00,1.667052307e+02,1.506709798e+06,3.432215387e+06,1.386843695e+05,3.466655922e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
337,33,32.763366,70,0.0556776,33,232,33,280,70,232,70,280,-1.114976883e+02,7.561650848e+01,-9.442351341e+00,1.529668274e+02,1.269440186e+06,3.002362888e+06,1.154930804e+05,3.218625605e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
338,33,32.819044,70,0.0556776,33,232,33,280,70,232,70,280,-9.421168518e+01,6.354600906e+01,-1.488783550e+01,1.335100098e+02,9.889967743e+05,2.554987945e+06,9.781815026e+04,2.899644919e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
339,33,32.874721,71,0.0556776,33,232,33,280,71,232,71,280,-7.154485321e+01,5.245470810e+01,-1.823565674e+01,1.266555481e+02,7.214440703e+05,2.092282960e+06,1.174414678e+05,2.846377630e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
340,33,32.930399,71,0.0556776,33,232,33,280,71,232,71,280,-4.552691650e+01,4.165886688e+01,-2.343554497e+01,1.029105225e+02,5.164555128e+05,1.616918416e+06,1.143021737e+05,2.515452618e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
341,33,32.986076,71,0.0556776,33,232,33,280,71,232,71,280,-1.864135742e+01,3.084254074e+01,-2.771721077e+01,7.952936554e+01,4.002130489e+05,1.145408552e+06,1.208614833e+05,2.211204239e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
342,33,33.041754,71,0.0556776,33,232,33,280,71,232,71,280,6.550468445e+00,2.016774178e+01,-3.066100502e+01,5.874189377e+01,3.686676054e+05,7.157579380e+05,1.299199724e+05,1.939395632e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
343,33,33.097432,71,0.0556776,33,232,33,280,71,232,71,280,2.783740044e+01,1.017560005e+01,-3.199746704e+01,4.189061356e+01,3.928599862e+05,3.814618131e+05,1.332853116e+05,1.686942911e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
344,33,33.153109,71,0.0556776,33,232,33,280,71,232,71,280,4.370225143e+01,1.496390224e+00,-3.155002975e+01,2.933449936e+01,4.327220334e+05,1.933685866e+05,1.257720824e+05,1.433947799e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
345,33,33.208787,72,0.0556776,33,232,33,280,72,232,72,280,5.345044708e+01,-5.510105133e+00,-3.376715469e+01,2.616405869e+01,4.529887910e+05,1.786565124e+05,1.371721546e+05,1.396302151e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
346,33,33.264465,72,0.0556776,33,232,33,280,72,232,72,280,5.709985733e+01,-1.100608158e+01,-3.020957184e+01,1.886280060e+01,4.353340825e+05,3.280706388e+05,1.120378448e+05,1.110762891e+06,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
347,33,33.320142,72,0.0556776,33,232,33,280,72,232,72,280,5.513352203e+01,-1.569993496e+01,-2.442691803e+01,1.425060368e+01,3.833074485e+05,5.985294506e+05,8.168328142e+04,8.155121393e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
348,33,33.375820,72,0.0556776,33,232,33,280,72,232,72,280,4.825930786e+01,-2.066459274e+01,-1.673409271e+01,1.124351215e+01,3.191234034e+05,9.302067501e+05,5.360434038e+04,5.362342123e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
349,33,33.431498,72,0.0556776,33,232,33,280,72,232,72,280,3.727235413e+01,-2.705892372e+01,-7.736254692e+00,9.033226967e+00,2.732690572e+05,1.268990545e+06,3.389439551e+04,3.070110533e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
350,33,33.487175,72,0.0556776,33,232,33,280,72,232,72,280,2.303806114e+01,-3.584548187e+01,1.628641605e+00,7.121490955e+00,2.700620899e+05,1.582295455e+06,2.551144867e+04,1.585119539e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
351,34,33.542853,73,0.0556776,34,232,34,280,73,232,73,280,1.035659313e+01,-4.174687195e+01,6.915574074e+00,8.269812584e+00,2.798811170e+05,1.690573188e+06,3.056070247e+04,1.420337566e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
352,34,33.598531,73,0.0556776,34,232,34,280,73,232,73,280,-6.996464252e+00,-5.496671677e+01,1.572028923e+01,6.373094082e+00,3.427630492e+05,1.965229009e+06,3.986458705e+04,1.268655010e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
353,34,33.654208,73,0.0556776,34,232,34,280,73,232,73,280,-2.410210037e+01,-7.086618042e+01,2.134315681e+01,3.848876953e+00,4.171726618e+05,2.220327960e+06,6.125411618e+04,2.011852335e+05,0,0,0,0,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
354,34,33.709886,73,0.0556776,34,232,34,280,73,232,73,280,-3.898353195e+01,-8.847598267e+01,2.243046570e+01,2.138563991e-01,4.670848179e+05,2.461226595e+06,9.736227249e+04,3.352600678e+05,1,0,0,0,2,2,1,2,184.000000,nan,5.217391304e-01,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
355,34,33.765563,73,0.0556776,34,232,34,280,73,232,73,280,4.506384888e+02,-1.063684998e+02,1.813873291e+01,-5.058488846e+00,2.295520296e+07,2.687995128e+06,1.556483903e+05,4.938458977e+05,0,0,0,0,2,2,1,2,184.000000,nan,5.217391304e-01,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
356,34,33.821241,73,0.0556776,34,232,34,280,73,232,73,280,8.589934082e+02,-1.229103851e+02,8.326147079e+00,-1.235463238e+01,5.084198088e+07,2.892269186e+06,2.458596191e+05,6.482212210e+05,0,0,0,0,2,2,1,2,184.000000,nan,5.217391304e-01,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
357,34,33.876919,74,0.0556776,34,232,34,280,74,232,74,280,1.124886597e+03,-1.365130310e+02,5.383469582e+00,-1.454102135e+01,8.528303758e+07,3.056135692e+06,2.908064228e+05,7.089881464e+05,0,0,1,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
358,34,33.932596,74,0.0556776,34,232,34,280,74,232,74,280,1.225873901e+03,-1.458421021e+02,4.882000732e+02,-2.521629524e+01,1.146884766e+08,3.155004487e+06,2.254297069e+07,8.350440058e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
359,34,33.988274,74,0.0556776,34,232,34,280,74,232,74,280,1.178963501e+03,-1.500018005e+02,8.803663940e+02,-3.761201477e+01,1.314531549e+08,3.165532392e+06,4.815906766e+07,9.461537869e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
360,34,34.043952,74,0.0556776,34,232,34,280,74,232,74,280,1.028859375e+03,-1.486850739e+02,1.121678223e+03,-5.097059250e+01,1.337739767e+08,3.075751741e+06,7.763218657e+07,1.053278244e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
361,34,34.099629,74,0.0556776,34,232,34,280,74,232,74,280,8.300301514e+02,-1.422157593e+02,1.191992065e+03,-6.441510010e+01,1.244291952e+08,2.891587742e+06,9.998984896e+07,1.165089763e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
362,34,34.155307,74,0.0556776,34,232,34,280,74,232,74,280,6.301773071e+02,-1.314215088e+02,1.111679932e+03,-7.709890747e+01,1.081815776e+08,2.635571336e+06,1.092296391e+08,1.282773361e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
363,34,34.210985,75,0.0556776,34,232,34,280,75,232,75,280,4.604349365e+02,-1.173965836e+02,9.047402954e+02,-8.398538208e+01,8.950342633e+07,2.338716401e+06,9.941726280e+07,1.356699483e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
364,34,34.266662,75,0.0556776,34,232,34,280,75,232,75,280,3.336380310e+02,-1.013059616e+02,7.016455078e+02,-9.505429077e+01,7.141920798e+07,2.030533307e+06,8.834141745e+07,1.477420364e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
365,34,34.322340,75,0.0556776,34,232,34,280,75,232,75,280,2.485029449e+02,-8.432648468e+01,4.965168152e+02,-1.033549042e+02,5.538640272e+07,1.731915090e+06,7.390088570e+07,1.572027623e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
366,34,34.378018,75,0.0556776,34,232,34,280,75,232,75,280,1.960585632e+02,-6.765752411e+01,3.210885925e+02,-1.083152924e+02,4.174954105e+07,1.452753762e+06,5.970903212e+07,1.622504942e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
367,34,34.433695,75,0.0556776,34,232,34,280,75,232,75,280,1.652583923e+02,-5.244747925e+01,1.904013672e+02,-1.095923538e+02,3.032926963e+07,1.193839796e+06,4.754645280e+07,1.617259693e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
368,34,34.489373,75,0.0556776,34,232,34,280,75,232,75,280,1.463756714e+02,-3.958041763e+01,1.053000336e+02,-1.070792084e+02,2.088245383e+07,9.517027444e+05,3.764575835e+07,1.554608882e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
369,35,34.545050,76,0.0556776,35,232,35,280,76,232,76,280,1.419785767e+02,-3.150425720e+01,9.336083984e+01,-1.063051376e+02,1.425928501e+07,8.141824534e+05,3.035687629e+07,1.556432144e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
370,35,34.600728,76,0.0556776,35,232,35,280,76,232,76,280,1.273918991e+02,-2.362947083e+01,5.856893539e+01,-9.779293823e+01,8.398041010e+06,5.985070604e+05,2.352818099e+07,1.426494827e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
371,35,34.656406,76,0.0556776,35,232,35,280,76,232,76,280,1.109321823e+02,-1.789964867e+01,4.339995575e+01,-8.639303589e+01,4.485882928e+06,4.077809778e+05,1.711887206e+07,1.271742550e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
372,35,34.712083,76,0.0556776,35,232,35,280,76,232,76,280,9.137824249e+01,-1.333024597e+01,4.087680817e+01,-7.316768646e+01,2.332394913e+06,2.526152377e+05,1.133486819e+07,1.110416970e+06,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
373,35,34.767761,76,0.0556776,35,232,35,280,76,232,76,280,6.863390350e+01,-8.714688301e+00,4.569252396e+01,-5.935967255e+01,1.512244273e+06,1.450297328e+05,6.638938097e+06,9.555181460e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
374,35,34.823439,76,0.0556776,35,232,35,280,76,232,76,280,4.338076782e+01,-2.823472500e+00,5.436932755e+01,-4.616400528e+01,1.497257632e+06,9.713985426e+04,3.476227378e+06,8.128716542e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
375,35,34.879116,77,0.0556776,35,232,35,280,77,232,77,280,1.681599808e+01,5.320860863e+00,6.233343124e+01,-4.087458801e+01,1.848183725e+06,1.207881213e+05,2.821260525e+06,7.987654291e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
376,35,34.934794,77,0.0556776,35,232,35,280,77,232,77,280,-9.639048576e+00,1.617873001e+01,7.103601074e+01,-3.045240402e+01,2.334104776e+06,2.266201801e+05,2.028990826e+06,6.675265626e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
377,35,34.990472,77,0.0556776,35,232,35,280,77,232,77,280,-3.477577972e+01,2.957624817e+01,7.905304718e+01,-2.215299988e+01,2.917107909e+06,4.214977132e+05,2.270778880e+06,5.412353425e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
378,35,35.046149,77,0.0556776,35,232,35,280,77,232,77,280,-5.812931061e+01,4.479000473e+01,8.380062866e+01,-1.571765232e+01,3.644729174e+06,7.043535452e+05,2.940233892e+06,4.187983162e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
379,35,35.101827,77,0.0556776,35,232,35,280,77,232,77,280,-8.032776642e+01,6.074516678e+01,8.290517426e+01,-1.068933582e+01,4.542957708e+06,1.061573291e+06,3.506861381e+06,3.027662406e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
380,35,35.157505,77,0.0556776,35,232,35,280,77,232,77,280,-1.029339600e+02,7.619268036e+01,7.466014862e+01,-6.581641674e+00,5.573875812e+06,1.463941045e+06,3.686630305e+06,1.990600032e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
381,35,35.213182,78,0.0556776,35,232,35,280,78,232,78,280,-1.277068481e+02,8.982189941e+01,6.354717636e+01,-6.935449600e+00,6.658581762e+06,1.867901281e+06,3.343467189e+06,1.683610248e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
382,35,35.268860,78,0.0556776,35,232,35,280,78,232,78,280,-1.556075287e+02,1.003669815e+02,4.213668060e+01,-3.503177404e+00,7.723276061e+06,2.222725204e+06,3.063839298e+06,9.097030153e+04,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
383,35,35.324538,78,0.0556776,35,232,35,280,78,232,78,280,-1.860875397e+02,1.067655487e+02,1.285167217e+01,-1.822024435e-01,8.725375054e+06,2.481615195e+06,2.707853318e+06,4.679933420e+04,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
384,35,35.380215,78,0.0556776,35,232,35,280,78,232,78,280,-2.170390930e+02,1.083419495e+02,-2.332062721e+01,3.028883934e+00,9.644276230e+06,2.611704088e+06,2.485100217e+06,3.874845741e+04,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
385,35,35.435893,78,0.0556776,35,232,35,280,78,232,78,280,-2.453766937e+02,1.049381638e+02,-6.469043732e+01,6.133949757e+00,1.045233347e+07,2.598741574e+06,2.538631336e+06,6.474423784e+04,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
386,35,35.491570,78,0.0556776,35,232,35,280,78,232,78,280,-2.678907471e+02,9.695698547e+01,-1.086298447e+02,9.258586884e+00,1.109503117e+07,2.446461071e+06,2.905775587e+06,1.184435113e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
387,36,35.547248,79,0.0556776,36,232,36,280,79,232,79,280,-2.778733521e+02,1.044893951e+02,-1.323435059e+02,9.303426743e+00,1.134343964e+07,2.638964122e+06,3.245764430e+06,1.496372433e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
388,36,35.602926,79,0.0556776,36,232,36,280,79,232,79,280,-2.826908569e+02,9.640476990e+01,-1.721665955e+02,1.328732777e+01,1.150066780e+07,2.396029175e+06,3.920435174e+06,2.264165110e+05,0,0,0,0,2,2,2,2,184.000000,184.000000,5.217391304e-01,5.482913392e-01,1.000000000e+00,1.050891733e+00,1.055555953e+00,9.515728102e-01,1.004438344e+00,-4.418732337e-03,1.048284837e+00
