# producer=CAELIX
# when=2026-02-25T11:46:46
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06D_relativity_twin_paradox_threshold_lock/20260225_114645 --relativity --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --rel-L 48 --rel-v-frac 0.3 --rel-v-frac-ref 0.1 --rel-steps 1500 --rel-slab 8 --rel-amp 500 --rel-sigma 2.25 --rel-threshold 0.01 --rel-refractory 10
# run_id=20260225_114645
# experiment=06D_relativity_twin_paradox_threshold_lock
# artefact=relativity
# n=512
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# rel_steps=1500
# rel_L=48
# rel_v_frac=0.3
# rel_v_frac_ref=0.1
# rel_v_ref=0.05567764362830022
# rel_v=0.16703293088490065
# rel_slab=8
# rel_amp=500.0
# rel_sigma=2.25
# rel_threshold=0.01
# rel_refractory=10
t,x_s,x_s_f,x_m,v_ref,a_sx,a_sy,b_sx,b_sy,a_mx,a_my,b_mx,b_my,phi_sa,phi_sb,phi_ma,phi_mb,e_sa,e_sb,e_ma,e_mb,hit_sa,hit_sb,hit_ma,hit_mb,hits_sa,hits_sb,hits_ma,hits_mb,T0_est,Tp_est,c_axis_est,c_diag_est,ratio_est,gamma_corr_est,gamma_pred_axis,anisotropy_A,ratio_pred,ratio_err,gamma_sr
12,15,14.668132,16,0.0556776,15,232,15,280,16,232,16,280,3.713583755e+01,0.000000000e+00,6.664205170e+01,0.000000000e+00,2.144299498e+07,0.000000000e+00,2.371949970e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
13,15,14.723809,16,0.0556776,15,232,15,280,16,232,16,280,1.630443001e+01,0.000000000e+00,3.392814255e+01,0.000000000e+00,1.395375725e+07,0.000000000e+00,1.603326642e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
14,15,14.779487,16,0.0556776,15,232,15,280,16,232,16,280,5.998466969e+00,0.000000000e+00,1.564270782e+01,0.000000000e+00,8.042559151e+06,0.000000000e+00,9.747760272e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
15,15,14.835165,17,0.0556776,15,232,15,280,17,232,17,280,1.312219620e+00,0.000000000e+00,1.904314995e+01,0.000000000e+00,3.863343066e+06,0.000000000e+00,7.302900180e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
16,15,14.890842,17,0.0556776,15,232,15,280,17,232,17,280,-5.840668082e-01,0.000000000e+00,8.003604889e+00,0.000000000e+00,1.543597881e+06,0.000000000e+00,3.648732573e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
17,15,14.946520,17,0.0556776,15,232,15,280,17,232,17,280,-1.268229842e+00,0.000000000e+00,2.435875177e+00,0.000000000e+00,9.517276182e+05,0.000000000e+00,1.730954606e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
18,15,15.002198,17,0.0556776,15,232,15,280,17,232,17,280,-1.793114543e+00,0.000000000e+00,-2.133499980e-01,0.000000000e+00,1.630862556e+06,0.000000000e+00,1.351108517e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
19,15,15.057875,17,0.0556776,15,232,15,280,17,232,17,280,-3.101798058e+00,0.000000000e+00,-1.965582371e+00,0.000000000e+00,2.932266518e+06,0.000000000e+00,2.033088047e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
20,15,15.113553,17,0.0556776,15,232,15,280,17,232,17,280,-6.123168468e+00,0.000000000e+00,-4.465772152e+00,0.000000000e+00,4.248227248e+06,0.000000000e+00,3.183072616e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
21,15,15.169231,18,0.0556776,15,232,15,280,18,232,18,280,-1.169410324e+01,0.000000000e+00,-6.884657860e+00,0.000000000e+00,5.196016430e+06,0.000000000e+00,3.492321028e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
22,15,15.224908,18,0.0556776,15,232,15,280,18,232,18,280,-2.051088905e+01,0.000000000e+00,-1.301244926e+01,0.000000000e+00,5.665287983e+06,0.000000000e+00,4.412236700e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
23,15,15.280586,18,0.0556776,15,232,15,280,18,232,18,280,-3.319695282e+01,0.000000000e+00,-2.235352135e+01,0.000000000e+00,5.745160664e+06,0.000000000e+00,5.004393721e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
24,15,15.336263,18,0.0556776,15,232,15,280,18,232,18,280,-5.038675308e+01,0.000000000e+00,-3.573387909e+01,0.000000000e+00,5.609057459e+06,0.000000000e+00,5.259033096e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
25,15,15.391941,18,0.0556776,15,232,15,280,18,232,18,280,-7.262355804e+01,0.000000000e+00,-5.382357407e+01,0.000000000e+00,5.425901239e+06,0.000000000e+00,5.284845949e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
26,15,15.447619,18,0.0556776,15,232,15,280,18,232,18,280,-9.996871948e+01,0.000000000e+00,-7.705620575e+01,0.000000000e+00,5.318783344e+06,0.000000000e+00,5.226531522e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
27,16,15.503296,19,0.0556776,16,232,16,280,19,232,19,280,-1.260231705e+02,0.000000000e+00,-9.111488342e+01,0.000000000e+00,5.320407612e+06,0.000000000e+00,5.115153872e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
28,16,15.558974,19,0.0556776,16,232,16,280,19,232,19,280,-1.592815399e+02,0.000000000e+00,-1.216217499e+02,0.000000000e+00,5.485208887e+06,0.000000000e+00,5.181400901e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
29,16,15.614652,19,0.0556776,16,232,16,280,19,232,19,280,-1.914388733e+02,0.000000000e+00,-1.544497833e+02,0.000000000e+00,5.755753631e+06,0.000000000e+00,5.352427082e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
30,16,15.670329,19,0.0556776,16,232,16,280,19,232,19,280,-2.183711548e+02,0.000000000e+00,-1.862020264e+02,0.000000000e+00,6.029698767e+06,0.000000000e+00,5.603795325e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
31,16,15.726007,19,0.0556776,16,232,16,280,19,232,19,280,-2.361786804e+02,0.000000000e+00,-2.128501587e+02,0.000000000e+00,6.172836569e+06,0.000000000e+00,5.848512188e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
32,16,15.781685,19,0.0556776,16,232,16,280,19,232,19,280,-2.420265656e+02,0.000000000e+00,-2.305389252e+02,0.000000000e+00,6.069256986e+06,0.000000000e+00,5.966951647e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
33,16,15.837362,20,0.0556776,16,232,16,280,20,232,20,280,-2.346548157e+02,0.000000000e+00,-2.320680237e+02,0.000000000e+00,5.673761259e+06,0.000000000e+00,5.844160418e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
34,16,15.893040,20,0.0556776,16,232,16,280,20,232,20,280,-2.145952454e+02,0.000000000e+00,-2.313721466e+02,0.000000000e+00,5.036368029e+06,0.000000000e+00,5.600463688e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
35,16,15.948718,20,0.0556776,16,232,16,280,20,232,20,280,-1.841965637e+02,0.000000000e+00,-2.175462799e+02,0.000000000e+00,4.281511139e+06,0.000000000e+00,5.110023035e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
36,16,16.004395,20,0.0556776,16,232,16,280,20,232,20,280,-1.473902435e+02,0.000000000e+00,-1.921530457e+02,0.000000000e+00,3.552669316e+06,0.000000000e+00,4.454310775e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
