# producer=CAELIX
# when=2026-02-11T17:31:27
# cwd=
# python=
# command= /core.py --out _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126 --n 512 --steps 0 --traffic-iters 250000 --traffic-rate 0.10 --traffic-inject 1.0 --traffic-decay 0.0 --k-index 1.0 --X0 8000 --ds 1.0 --eps 0.005 --delta-load --dump-radial _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_n512_20260211_173126.csv --dump-radial-fit _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_fit_n512_20260211_173126.csv --dump-shapiro _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_shapiro_n512_20260211_173126.csv
# run_id=20260211_173126
# n=512
# steps=0
# traffic_iters=250000
# seed=6174
# lattice_init=sparse
# artefact=radial
r,mean_phi,count,std_phi
49.0,0.05663491040468216,31016,0.0010832689004018903
50.0,0.054793473333120346,32112,0.0010357204591855407
51.0,0.05303913354873657,33248,0.0009919203585013747
52.0,0.05136041343212128,34448,0.0009518290753476322
53.0,0.04975102096796036,35736,0.0009148984681814909
54.0,0.04819031059741974,37976,0.000883907254319638
55.0,0.04668593406677246,38400,0.0008440573001280427
56.0,0.04524800181388855,40616,0.0008166820043697953
57.0,0.04386933892965317,40680,0.0007797877187840641
58.0,0.04253886267542839,43856,0.0007585947751067579
59.0,0.041251856833696365,43904,0.0007244910229928792
60.0,0.04002387449145317,45816,0.0007005752413533628
61.0,0.03883112221956253,47816,0.000677799282129854
62.0,0.03766782209277153,49776,0.0006550445104949176
63.0,0.03655022010207176,50768,0.0006301766843535006
64.0,0.03548351675271988,51656,0.0006063455366529524
65.0,0.0344570055603981,53592,0.0005867237341590226
66.0,0.033454202115535736,56168,0.0005693479324690998
67.0,0.032486096024513245,56664,0.0005476975929923356
68.0,0.031555287539958954,59096,0.0005315871094353497
69.0,0.03065265528857708,60216,0.0005128628108650446
70.0,0.02977771684527397,62816,0.0004980608937330544
71.0,0.028926793485879898,64448,0.0004819279129151255
72.0,0.028104813769459724,66120,0.00046616571489721537
73.0,0.027311669662594795,67592,0.0004507428966462612
74.0,0.026536783203482628,70992,0.00043923166231252253
75.0,0.025785990059375763,71504,0.0004235311644151807
76.0,0.02506752870976925,72984,0.0004098323988728225
77.0,0.024372523650527,74792,0.00039713492151349783
78.0,0.02369368076324463,78152,0.0003869502688758075
79.0,0.02303527668118477,78504,0.00037360453279688954
80.0,0.02239474281668663,82952,0.00036506072501651943
81.0,0.021773135289549828,82320,0.000351143506122753
82.0,0.021173497661948204,86120,0.00034270354080945253
83.0,0.020589767023921013,87120,0.0003316858201287687
84.0,0.020022081211209297,90392,0.0003230010042898357
85.0,0.01947076991200447,91712,0.0003128387324977666
86.0,0.018936622887849808,93912,0.0003040222800336778
87.0,0.01841898262500763,96008,0.00029535629437305033
88.0,0.017915677279233932,98328,0.000286824069917202
89.0,0.01742604933679104,100544,0.00027858983958140016
90.0,0.01695077307522297,102824,0.00027081137523055077
91.0,0.01648721843957901,105648,0.0002635908022057265
92.0,0.01603657566010952,107816,0.00025604068650864065
93.0,0.015598650090396404,109968,0.00024872258654795587
94.0,0.01517337653785944,112448,0.0002419070660835132
95.0,0.01476195827126503,113616,0.0002346105466131121
96.0,0.014360652305185795,117848,0.00022902092314325273
97.0,0.013969545252621174,119120,0.00022212466865312308
98.0,0.01359025202691555,121920,0.00021618854952976108
99.0,0.013221751898527145,123848,0.00021009020565543324
100.0,0.012862542644143105,127536,0.0002048478345386684
101.0,0.012513095512986183,128744,0.0001987275609280914
102.0,0.01217284332960844,133008,0.00019393883121665567
103.0,0.011840933933854103,134456,0.00018830070621334016
104.0,0.011518183164298534,138272,0.00018364835705142468
105.0,0.011204815469682217,139152,0.00017811368161346763
106.0,0.010900966823101044,142376,0.00017347100947517902
107.0,0.010605916380882263,144048,0.00016853043052833527
108.0,0.01031802874058485,148136,0.00016446136578451842
109.0,0.010036828927695751,150920,0.000160110168508254
110.0,0.009762994945049286,153624,0.00015578596503473818
111.0,0.009496806189417839,156008,0.0001515355979790911
112.0,0.00923743937164545,159792,0.0001477679325034842
113.0,0.008984728716313839,161768,0.0001436269812984392
114.0,0.00873918179422617,165240,0.000139878349727951
115.0,0.008499986492097378,167240,0.00013599528756458312
116.0,0.008267042227089405,171704,0.00013272766955196857
117.0,0.008040782995522022,172104,0.00012872545630671084
118.0,0.007820848375558853,176984,0.000125663704238832
119.0,0.007606517057865858,178584,0.00012211019929964095
120.0,0.0073980591259896755,182216,0.00011901454126928002
121.0,0.007193906232714653,187248,0.00011617766722338274
122.0,0.006995169911533594,188000,0.00011273909331066534
123.0,0.0068029905669391155,190952,0.00010975819895975292
124.0,0.00661556888371706,194832,0.00010698042751755565
125.0,0.006432537920773029,198224,0.00010418854799354449
126.0,0.006254327483475208,201384,0.00010144235420739278
127.0,0.0060816677287220955,202400,9.851618960965425e-05
128.0,0.005912987049669027,209232,9.632279397919774e-05
129.0,0.0057482183910906315,210176,9.351829794468358e-05
130.0,0.00558845279738307,213992,9.113106352742761e-05
131.0,0.005432724021375179,217416,8.873886690707877e-05
132.0,0.005280941724777222,220856,8.639147563371807e-05
133.0,0.0051329112611711025,224928,8.41702421894297e-05
134.0,0.004989016335457563,227000,8.185085607692599e-05
135.0,0.004849220160394907,230648,7.970992737682536e-05
136.0,0.00471297325566411,234576,7.760747394058853e-05
137.0,0.004580704960972071,235472,7.536841440014541e-05
138.0,0.004451889079064131,242424,7.367259968305007e-05
139.0,0.0043262275867164135,243032,7.147859287215397e-05
140.0,0.0042037456296384335,249936,6.979373574722558e-05
141.0,0.004084480926394463,250424,6.775262590963393e-05
142.0,0.003968492615967989,256472,6.613902951357886e-05
143.0,0.0038555259816348553,258384,6.425793981179595e-05
144.0,0.003745605470612645,262832,6.257808854570612e-05
145.0,0.0036386786960065365,265848,6.087576548452489e-05
146.0,0.003534658346325159,269624,5.92625692661386e-05
147.0,0.0034333413932472467,273744,5.7696259318618104e-05
148.0,0.003334894310683012,276272,5.607519779005088e-05
149.0,0.0032392896246165037,279440,5.4556745453737676e-05
150.0,0.0031460539903491735,285576,5.321586286299862e-05
151.0,0.003055151319131255,287648,5.169541691429913e-05
152.0,0.0029664395842701197,295008,5.044964564149268e-05
153.0,0.0028801709413528442,295112,4.893601726507768e-05
154.0,0.0027966564521193504,299592,4.764510231325403e-05
155.0,0.002715366892516613,303320,4.63470169052016e-05
156.0,0.0026359071489423513,310016,4.518433706834912e-05
157.0,0.002558858832344413,309192,4.3793934310087934e-05
158.0,0.0024841155391186476,316424,4.2712290451163426e-05
159.0,0.002410988323390484,320208,4.153353802394122e-05
160.0,0.0023400657810270786,323072,4.0377071854891255e-05
161.0,0.002271203091368079,326864,3.9267673855647445e-05
162.0,0.002203910378739238,334296,3.827743785222992e-05
163.0,0.0021384097635746002,335648,3.714288322953507e-05
164.0,0.002074789023026824,341520,3.616957110352814e-05
165.0,0.002013221150264144,341048,3.506199209368788e-05
166.0,0.001953377854079008,348888,3.418253982090391e-05
167.0,0.0018949612276628613,352400,3.322291740914807e-05
168.0,0.0018382230773568153,356336,3.230342554161325e-05
169.0,0.0017829573480412364,362304,3.1441912142327055e-05
170.0,0.001729210838675499,365264,3.052883403142914e-05
171.0,0.001677073654718697,368616,2.965770909213461e-05
172.0,0.0016263199504464865,375704,2.8893802664242685e-05
173.0,0.001577007700689137,376488,2.8019154342473485e-05
174.0,0.0015291263116523623,383984,2.7280411813990213e-05
175.0,0.001482469728216529,386672,2.648495683388319e-05
176.0,0.001437164144590497,392592,2.577020859462209e-05
177.0,0.0013932354049757123,393872,2.4991815735120326e-05
178.0,0.0013505358947440982,401208,2.4325821868842468e-05
179.0,0.0013090043794363737,403976,2.361339284107089e-05
180.0,0.0012687358539551497,408128,2.2945547243580222e-05
181.0,0.0012295094784349203,415608,2.2331010768539272e-05
182.0,0.00119129684753716,419144,2.167770617234055e-05
183.0,0.0011543015716597438,422064,2.1041125364718027e-05
184.0,0.001118297572247684,430064,2.04822590603726e-05
185.0,0.0010833523701876402,430584,1.985222115763463e-05
186.0,0.0010494469897821546,438752,1.9321900253999047e-05
187.0,0.0010164554696530104,441392,1.874458212114405e-05
188.0,0.0009844294982030988,447744,1.8225717212771997e-05
189.0,0.0009534023702144623,449288,1.7672475223662332e-05
190.0,0.0009233209420926869,455136,1.7177375411847606e-05
191.0,0.0008940400439314544,461600,1.670252277108375e-05
192.0,0.0008655916317366064,465072,1.6216230505960993e-05
193.0,0.0008379654609598219,471752,1.5768247976666316e-05
194.0,0.0008110489579848945,478520,1.533164868305903e-05
195.0,0.0007850467227399349,476400,1.4843538338027429e-05
196.0,0.0007599397213198245,484112,1.4446916793531273e-05
197.0,0.0007354668923653662,489240,1.40431047839229e-05
198.0,0.000711657281499356,497408,1.367171535093803e-05
199.0,0.0006885231705382466,499944,1.3273174772621132e-05
200.0,0.0006661236402578652,505232,1.2908608368888963e-05
201.0,0.0006443840102292597,510488,1.256155337614473e-05
202.0,0.0006232668529264629,516360,1.2230440006533172e-05
203.0,0.0006027984200045466,520160,1.1900506251549814e-05
204.0,0.000582963926717639,524856,1.1590226677071769e-05
205.0,0.000563710171263665,531440,1.1302957318548579e-05
206.0,0.0005450334283523262,535064,1.1019504199794028e-05
207.0,0.0005269213579595089,541560,1.0761741577880457e-05
208.0,0.0005093716317787766,545096,1.0502693839953281e-05
209.0,0.0004923686501570046,549408,1.0264295269735157e-05
210.0,0.000475815701065585,560864,1.0072834811580833e-05
211.0,0.0004597715160343796,559680,9.844591659202706e-06
212.0,0.0004442188364919275,569936,9.678808964963537e-06
213.0,0.0004291300429031253,572312,9.508310540695675e-06
214.0,0.0004145280981902033,577920,9.35663774725981e-06
215.0,0.0004003681242465973,583424,9.228891030943487e-06
