# producer=CAELIX
# when=2026-02-24T12:04:35
# cwd=
# python=
# command= /core.py --out _Output/08_solitons/08E_sine_gordon_breather_baseline/20260224_120434 --soliton --traffic-mode sine_gordon --traffic-boundary sponge --traffic-sponge-width 24 --traffic-sponge-strength 0.2 --n 96 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0 --soliton-steps 5000 --soliton-sigma-start 3.2 --soliton-sigma-stop 3.6 --soliton-sigma-steps 5 --soliton-sg-k-start 0.08 --soliton-sg-k-stop 0.08 --soliton-sg-k-steps 1 --soliton-sg-amp-start 7.5 --soliton-sg-amp-stop 11.0 --soliton-sg-amp-steps 8 --soliton-lambda-start 0.0 --soliton-lambda-stop 0.0 --soliton-lambda-steps 1
# run_id=20260224_120434
# experiment=08E_sine_gordon_breather_baseline
# artefact=soliton_scan
# n=96
# seed=6174
# traffic_mode=sine_gordon
# traffic_c2=0.31
# traffic_gamma=0.0
# traffic_dt=0.05
# traffic_decay=0.0
# traffic_boundary=sponge
# traffic_sponge_width=24
# traffic_sponge_strength=0.2
# soliton_k=0.01
# soliton_lambda_start=0.0
# soliton_lambda_stop=0.0
# soliton_lambda_steps=1
# soliton_steps=5000
# soliton_sigma=4.0
# soliton_sigma_start=3.2
# soliton_sigma_stop=3.6
# soliton_sigma_steps=5
# soliton_amp=100.0
# soliton_init_vev=0
# soliton_vev_sign=1
# soliton_sg_k_start=0.08
# soliton_sg_k_stop=0.08
# soliton_sg_k_steps=1
# soliton_sg_amp_start=7.5
# soliton_sg_amp_stop=11.0
# soliton_sg_amp_steps=8
idx,lambda,k,sigma,amp,sg_k,sg_amp,init_vev,vev_sign,phi0,steps,traffic_mode,traffic_boundary,traffic_sponge_width,traffic_sponge_strength,traffic_inject,traffic_decay,traffic_gamma,traffic_dt,traffic_c2,crop_r,src_peak,E_land,E_final,E_ratio,Rg_land,Rg_final,Rg_ratio,Rg_dev_land,Rg_dev_final,Rg_dev_ratio,peak_final,peak_final_crop,peak_dev_land,peak_dev_final,peak_dev_ret,peak_land,peak_land_over_pi,peak_final_over_pi,peak_ret,peak_ret_crop,peak_x_land,peak_y_land,peak_z_land,peak_r_land,peak_x_final,peak_y_final,peak_z_final,peak_r_final,peak_move,cm_dx_land,cm_dy_land,cm_dz_land,cm_r_land,cm_dx_final,cm_dy_final,cm_dz_final,cm_r_final,frac_abs_phi_gt_pi_over2_land,frac_abs_phi_gt_pi_land,frac_abs_phi_gt_2pi_land,frac_abs_phi_gt_pi_over2_final,frac_abs_phi_gt_pi_final,frac_abs_phi_gt_2pi_final,outer_shell_abs_ratio_land,outer_shell_abs_ratio_final,E_land_phys,E_final_phys,E_ratio_phys,E_land_phys_shifted,E_final_phys_shifted,E_ratio_phys_shifted,mean_phi_land,mean_phi_final,mean_abs_phi_land,mean_abs_phi_final,mean_phi_outer_land,mean_phi_outer_final,mean_abs_phi_outer_land,mean_abs_phi_outer_final,mean_phi_shell_land,mean_phi_shell_final,mean_abs_phi_shell_land,mean_abs_phi_shell_final,phi_std_shell_land,phi_std_shell_final,delta_outer_shell_land,delta_outer_shell_final,phi_std_outer_land,phi_std_outer_final,phi_p50_outer_land,phi_p50_outer_final,phi_std_land,phi_std_final,phi_p01_land,phi_p01_final,phi_p05_land,phi_p05_final,phi_p16_land,phi_p16_final,phi_p50_land,phi_p50_final,phi_p84_land,phi_p84_final,phi_p95_land,phi_p95_final,phi_p99_land,phi_p99_final,E_land_kin,E_land_grad,E_land_stiff,E_land_phi4,E_land_sine,E_final_kin,E_final_grad,E_final_stiff,E_final_phi4,E_final_sine,vev_theory,mean_phi_final_err,mean_phi_final_abs_err,vel_abs_max_land,vel_abs_max_final,vel_abs_ratio,E_land_kin_frac,E_final_kin_frac,candidate_score,cm_v,peak_v,vel_rms_land,vel_rms_final,vel_rms_ratio,lap_abs_max_land,lap_abs_max_final,lap_abs_ratio,dE_fast,dE_fast_per_step,dE_phys_shifted,dE_phys_shifted_per_step,status,fail_kind,fail_msg,wall_s,tail_win,tail_vel_rms_min,tail_vel_rms_mean,tail_vel_rms_max,tail_lap_abs_max,tail_dE_phys_shifted_per_step_mean,tail_dE_phys_shifted_per_step_abs_max,tail_frac_abs_phi_gt_pi_min,tail_frac_abs_phi_gt_pi_max,tail_frac_abs_phi_gt_2pi_min,tail_frac_abs_phi_gt_2pi_max,tail_peak_dev_max,tailp_peak_r_min,tailp_peak_r_mean,tailp_peak_r_max,tailp_vel_rms_mean,tailp_lap_abs_max,tailp_frac_abs_phi_gt_pi_max,tailp_frac_abs_phi_gt_2pi_max,tailp_peak_dev_max
0,0.0,0.08,3.2,7.5,0.08,7.5,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,7.5,10289.201171875,1284.0498046875,0.12479586930396344,3.9191819497094125,15.561085765028782,3.9704933235321107,3.9191819497094125,15.561085765028782,3.9704933235321107,0.15036725997924805,0.15036725997924805,0.375,0.15036725997924805,0.40097935994466144,0.375,0.1193662073189215,0.04786338540976291,0.40097935994466144,0.40097935994466144,48,48,48,0.0,47,47,47,1.7320508075688772,1.7320508075688772,1.384595618139741e-16,-3.4614890453493526e-17,0.0,1.4272084955893823e-16,-0.7117247324337729,-0.7117247324337729,-0.7117247324337729,1.2327433975786595,0.0,0.0,0.0,0.0,0.0,0.0,423803458.878796,12650.719267141041,5133.368641812801,373.5303386211395,0.07276514988201407,5133.368641812801,373.5303386211395,0.07276514988201407,0.0032616909593343735,-0.07228455692529678,0.0032616909593343735,0.07228455692529678,0.0004238034307491034,-0.01262691617012024,0.0004238034307491034,0.013570026494562626,-6.637438184787124e-20,-8.062241413000875e-07,-6.637438184787124e-20,1.072667376240819e-06,0.0,2.694814542491089e-06,0.0004238034307491035,-0.01262610994597894,0.0074849254451692104,0.02712869644165039,0.0,7.98505607235711e-06,0.02054065465927124,0.029860099777579308,0.0,-0.1423862874507904,0.0,-0.12768694758415222,0.0,-0.10542798787355423,0.0,-0.06838729977607727,8.043229172471911e-05,-0.041640810668468475,0.0075434232130646706,-0.029471887648105686,0.10034022480249405,-0.020379144698381424,5131.77099609375,0.5755335974693299,0.0,0.0,1.0221121215820312,358.7579040527344,0.2709794902801514,0.0,0.0,14.501455078125,0.0,-0.07228455692529678,0.07228455692529678,7.5,0.20852068066596985,0.02780275742212931,0.9996887724551793,0.9604518481070734,0.023841956350790335,0.000246597999115555,0.0003464794574052565,0.41596013170273144,0.10998129559111045,0.26440345410244576,0.1072242259979248,0.0018548369407653809,0.017298674096293116,-9005.1513671875,-1.8013905515478095,-4759.838303191661,-0.9521580922567836,ok,,,6.979016874989611,512,0.005514356917547084,0.09532167516503658,0.15140038691033803,0.0026733875274658203,0.14494541275277648,41.31640266729005,0.0,0.0,0.0,0.0,0.21631872653961182,0.0,3.187181233901631,27.0,0.03827905526437194,0.0026733875274658203,0.0,0.0,0.21631872653961182
1,0.0,0.08,3.2,7.921782149867154,0.08,7.921782149867154,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,7.92178201675415,11479.021484375,8114.60546875,0.7069074206190334,3.9191818965152865,8.44806206688281,2.1555677409089755,3.9191818965152865,8.44806206688281,2.1555677409089755,1.5987910032272339,1.5987910032272339,0.396089106798172,1.5987910032272339,4.0364427493379695,0.396089106798172,0.12607907850356545,0.5089109822689294,4.0364427493379695,4.0364427493379695,48,48,48,0.0,48,48,48,0.0,0.0,0.0,0.0,0.0,0.0,-0.09546221692486158,-0.09546221692486158,-0.09546221692486158,0.16534540991702185,0.0,0.0,0.0,1.6858005023685498e-05,0.0,0.0,447637111.09070736,9622.318584656838,5726.980090579987,3250.7945235824586,0.5676280469229363,5726.980090579987,3250.7945235824586,0.5676280469229363,0.0034451207611709833,-0.09508389979600906,0.0034451207611709833,0.09508389979600906,0.00044763711048290133,-0.015248789452016354,0.0004476370813790709,0.0153197655454278,0.0,1.2487884404231872e-06,-6.637438184787124e-20,1.5921064957812936e-06,9.10867593615225e-11,5.317416066855296e-06,0.00044763711048290133,-0.015250038240456777,0.007905860431492329,0.059870801866054535,0.0,-0.0014099512482061982,0.021695811301469803,0.14161759614944458,0.0,-0.7640262842178345,0.0,-0.3388585239648818,0.0,-0.14816991984844208,0.0,-0.04698091000318527,8.495560905430466e-05,-0.01872748285531998,0.007967647165060043,-0.014903079438954615,0.10598311573266983,-0.008853483945131302,5725.1982421875,0.6420871925354004,0.0,0.0,1.1397611999511719,3174.1806640625,10.785944480895996,0.0,0.0,65.8279150390625,0.0,-0.09508389979600906,0.09508389979600906,7.92178201675415,3.394195079803467,0.42846357961187564,0.9996888677166142,0.9764322663385294,0.5135819511325953,3.3075697122828936e-05,0.0,0.4393527354702424,0.3271401979479516,0.7445957918022545,0.11325430870056152,0.3173036575317383,2.8016917075594234,-3364.416015625,-0.6730178066863373,-2476.185566997528,-0.49533618063563273,ok,,,13.862517208995996,512,0.027891851912604498,0.24629403256351942,0.40489549032552197,1.2788963317871094,4.535555384727662,285.1954631872818,0.0,0.0015172204521316948,0.0,0.0,4.461335182189941,0.0,0.12798879589937565,9.848857801796104,0.0893787530919036,1.2788963317871094,0.0001971379944056618,0.0,4.461335182189941
2,0.0,0.08,3.2,8.367284323993847,0.08,8.367284323993847,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,8.367284774780273,12806.43359375,7565.37939453125,0.5907483406015104,3.9191819499774176,5.458544043286671,1.3927763785802605,3.9191819499774176,5.458544043286671,1.3927763785802605,3.4414327144622803,3.4414327144622803,0.4183642268180847,3.4414327144622803,8.225924909107254,0.4183642268180847,0.13316946942183414,1.0954420556496622,8.225924909107254,8.225924909107254,48,48,48,0.0,48,48,48,0.0,0.0,0.0,0.0,0.0,0.0,-0.021446560474619555,-0.021446560474619555,-0.02144656047461948,0.03714653238963952,0.0,0.0,0.0,0.006052023803503093,0.00011800603516579848,0.0,472811164.8496658,10382.61153241202,6389.235267295838,2239.3329034423828,0.35048527871632934,6389.235267295838,2239.3329034423828,0.35048527871632934,0.0036388663575053215,-0.06959941983222961,0.0036388663575053215,0.07316030561923981,0.00047281119623221457,-0.008070950396358967,0.00047281119623221457,0.01085914857685566,0.0,-3.974187109078693e-07,6.637438184787124e-20,1.0458966089932677e-06,1.2881613044167958e-10,3.506517635256373e-06,0.00047281119623221457,-0.00807055297764806,0.008350467309355736,0.08540790528059006,0.0,3.482804095256142e-05,0.022915933281183243,0.22748088836669922,0.0,-1.2143049073219299,0.0,-0.34370964765548706,0.0,-0.08645091205835342,0.0,-0.010782303288578987,8.97333156899549e-05,0.005480075720697641,0.00841572880744934,0.00883455015718937,0.11194336414337158,0.010982858948409557,6387.248046875,0.7163369369506836,0.0,0.0,1.2708834838867187,2091.123046875,44.24271789550781,0.0,0.0,103.967138671875,0.0,-0.06959941983222961,0.06959941983222961,8.367284774780273,3.5446724891662598,0.4236347375017296,0.9996889736662211,0.9338151748944745,0.6293044884601978,7.430792636455195e-06,0.0,0.4640609168643398,0.26552650975465436,0.5721802894947873,0.11962342262268066,1.0399341583251953,8.693399131417456,-5241.05419921875,-1.0484205239485398,-4149.9023638534545,-0.8301465020711051,ok,,,20.832808958992246,512,0.022521860700949376,0.24252870055487058,0.4084201188980626,1.4365043640136719,3.294034044427051,279.8803436038502,0.0,0.002073534617913316,0.0,0.0,4.798327445983887,0.0,0.12065773617604172,2.8284271247461903,0.08766567351128712,1.4365043640136719,0.0002694219256877378,0.0,4.798327445983887
3,0.0,0.08,3.2,8.83784048009036,0.08,8.83784048009036,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,8.83784008026123,14287.33984375,9237.552734375,0.6465551205052331,3.9191822771628533,5.4183721017230715,1.3825261798350192,3.9191822771628533,5.4183721017230715,1.3825261798350192,1.7556188106536865,1.7556188106536865,0.44189199805259705,1.7556188106536865,3.9729590451753793,0.44189199805259705,0.14065859160565003,0.5588308238012969,3.9729590451753793,3.9729590451753793,48,48,48,0.0,48,48,48,0.0,0.0,0.0,-2.492833307282611e-17,0.0,2.492833307282611e-17,-0.010359399952475605,-0.010359399952475729,-0.010359399952475739,0.01794300705361451,0.0,0.0,0.0,0.0004551661356395084,0.0,0.0,499400826.0001011,8251.862993816292,7128.071639680863,4196.085754928589,0.5886705363018007,7128.071639680863,4196.085754928589,0.5886705363018007,0.003843507030978799,0.040101151913404465,0.003843507030978799,0.04031756520271301,0.0004994008922949433,0.005787935573607683,0.0004994008922949433,0.006098698824644089,0.0,-3.5167952903971364e-07,1.3274876369574248e-19,7.390683264314104e-07,0.0,2.328419730766262e-06,0.0004994008922949433,0.005788287253136723,0.00882007647305727,0.044832658022642136,0.0,0.00012502411846071482,0.024204669520258904,0.118737131357193,0.0,-0.0022068482358008623,0.0,-0.0011406895937398076,0.0,0.0019965614192187786,0.0,0.008907168172299862,9.477969433646649e-05,0.05395038425922394,0.00888900924474001,0.1763029247522351,0.11823878437280655,0.6076773405075073,7125.85546875,0.7991723346710206,0.0,0.0,1.4169985961914062,4148.19873046875,13.576560592651367,0.0,0.0,34.3104638671875,0.0,0.040101151913404465,0.040101151913404465,8.83784008026123,5.973458290100098,0.6758957206570695,0.9996890925003439,0.9885876916591629,0.33345056175903237,3.5893192745778123e-06,0.0,0.49015854885333476,0.37397955591460014,0.7629767078213345,0.12635064125061035,0.33104419708251953,2.6200436642494713,-5049.787109375,-1.0101594537657532,-2931.9858847522737,-0.586514479846424,ok,,,27.65384908398846,512,0.016270161995693692,0.24234872229324714,0.4101432036541147,1.4016895294189453,2.733152504242691,281.91385612194154,0.0,0.002073534617913316,0.0,0.0,4.749788761138916,0.0,0.11024868371134376,3.0,0.08762989399693821,1.4016895294189453,0.0002694219256877378,0.0,4.749788761138916
4,0.0,0.08,3.2,9.334859594473754,0.08,9.334859594473754,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,9.334859848022461,15939.4990234375,8129.58984375,0.5100279395102832,3.9191820996480313,5.860465884901706,1.495328804810579,3.9191820996480313,5.860465884901706,1.495328804810579,2.9550106525421143,2.9550106525421143,0.46674299240112305,2.9550106525421143,6.331130195100074,0.46674299240112305,0.14856890878828335,0.9406091044825694,6.331130195100074,6.331130195100074,48,48,48,0.0,48,48,48,0.0,0.0,1.7875569412120487e-16,0.0,0.0,1.7875569412120487e-16,-0.0027996510251773413,-0.0027996510251771696,-0.0027996510251771614,0.004849137819069246,0.0,0.0,0.0,0.0042313592609450595,0.0,0.0,527486123.6972567,8006.722443936089,7952.34639567852,2845.868880844116,0.3578653065704763,7952.34639567852,2845.868880844116,0.3578653065704763,0.004059656988829374,-0.07622048258781433,0.004059656988829374,0.07624712586402893,0.0005274860886856914,-0.010244928300380707,0.0005274860886856914,0.011251886375248432,-6.637438184787124e-20,-3.8585141584921906e-07,-6.637438184787124e-20,1.4053039114709948e-06,0.0,4.3051385481851675e-06,0.0005274860886856915,-0.010244542448964857,0.009316098876297474,0.07553994655609131,0.0,-5.22410700796172e-05,0.02556588314473629,0.19714483618736267,0.0,-1.0518630743026733,0.0,-0.3206946849822998,0.0,-0.09910523146390915,0.0,-0.023562075570225716,0.00010010988626163453,-0.008731202222406864,0.009388906881213188,-0.0016537071205675602,0.12488825619220734,-0.00011633114831056525,7949.875,0.891587176322937,0.0,0.0,1.5798085021972657,2725.3193359375,32.78487693786621,0.0,0.0,87.76466796875,0.0,-0.07622048258781433,0.07622048258781433,9.334859848022461,4.218964576721191,0.4519579988782538,0.999689224342659,0.957640513335646,0.4297242006715701,9.70021568127439e-07,0.0,0.5177239408948484,0.30312852273569973,0.5855022315787908,0.13345646858215332,0.8411712646484375,6.302963607422506,-7809.9091796875,-1.5622942947964593,-5106.477514834403,-1.0214998029274662,ok,,,34.591789999991306,512,0.01958720891923707,0.24397978622038352,0.4123988952125014,1.4790573120117188,3.9201584554043003,282.2940778434727,0.0,0.002478126738481768,0.0,0.0,4.893588542938232,0.0,0.11142017964642088,3.0,0.08836533021218781,1.4790573120117188,0.0003219920575292476,0.0,4.893588542938232
5,0.0,0.08,3.2,9.859829880935775,0.08,9.859829880935775,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,9.859829902648926,17782.7109375,6660.75830078125,0.374563716645425,3.9191819308788762,5.433164139568129,1.3863005686877472,3.9191819308788762,5.433164139568129,1.3863005686877472,4.79135274887085,4.79135274887085,0.49299150705337524,4.79135274887085,9.718935682095024,0.49299150705337524,0.1569240704997353,1.5251349481594727,9.718935682095024,9.718935682095024,48,48,48,0.0,48,48,48,0.0,0.0,0.0,2.0028418186684606e-17,0.0,2.0028418186684606e-17,-0.0007806536212726266,-0.0007806536212724875,-0.0007806536212724778,0.0013521317351566553,0.0,0.0,0.0,0.011648881471366678,0.002073534617913316,0.0,557150538.3518211,13847.230744537239,8871.937517998218,303.44532684326174,0.03420282505683475,8871.937517998218,303.44532684326174,0.03420282505683475,0.004287962336093187,0.1015983447432518,0.004287962336093187,0.10231757164001465,0.0005571505753323436,0.013403578661382198,0.0005571505753323436,0.014179309830069542,0.0,-3.36715540303896e-07,6.637438184787124e-20,1.023980624315989e-06,1.82173518723045e-10,3.1243500390448214e-06,0.0005571505753323436,0.013403915376922503,0.009840012528002262,0.11895211040973663,0.0,6.27086337772198e-05,0.02700364589691162,0.3161347806453705,0.0,-0.005264473855495453,0.0,-0.0028057675808668137,0.0,0.00041609592153690755,0.0,0.014847975224256516,0.00010573982581263408,0.10886458307504654,0.00991691555827856,0.4496765732765198,0.13191166520118713,1.6771916151046753,8869.181640625,0.9946884083747863,0.0,0.0,1.76118896484375,53.46172332763672,86.79303710937499,0.0,0.0,163.19056640625,0.0,0.1015983447432518,0.1015983447432518,9.859829902648926,0.5055563449859619,0.05127434752704405,0.9996893714177284,0.17618239135134628,0.21787176389647536,2.704804431199511e-07,0.0,0.5468394881167653,0.042456046253920715,0.07763895471435885,0.1409618854522705,1.2066917419433594,8.560411476277702,-11121.95263671875,-2.2248354944426385,-8568.492191154955,-1.7140412464802872,ok,,,41.41757762499037,512,0.01982455911061031,0.2470350945705788,0.41296559816226464,1.421915054321289,-0.6381597832273408,284.6835492258656,0.0,0.002073534617913316,0.0,0.0,4.79440450668335,0.0,0.11365338376026889,3.0,0.08942862957799409,1.421915054321289,0.0002694219256877378,0.0,4.79440450668335
6,0.0,0.08,3.2,10.41432324686984,0.08,10.41432324686984,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,10.414322853088379,19839.064453125,7255.412109375,0.3657134199305525,3.9191820523245924,5.862572057064656,1.49586622381764,3.9191820523245924,5.862572057064656,1.49586622381764,3.2259023189544678,3.2259023189544678,0.52071613073349,3.2259023189544678,6.195126535470304,0.52071613073349,0.16574909230784107,1.026836599986423,6.195126535470304,6.195126535470304,48,48,48,0.0,48,48,48,0.0,0.0,-1.4361949883765462e-16,1.7952437354706828e-17,0.0,1.4473717716382944e-16,0.0032138750123501688,0.003213875012350136,0.003213875012350133,0.005566594810566506,0.0,0.0,0.0,0.0061531718336452065,1.6858005023685498e-05,0.0,588483273.6280097,10713.016528698283,9897.86688388586,2034.8815512084961,0.20558788828746205,9897.86688388586,2034.8815512084961,0.20558788828746205,0.004529106896370649,-0.0885738730430603,0.004529107362031937,0.08859151601791382,0.0005884833517484367,-0.012485312297940254,0.0005884833517484367,0.01325125154107809,1.3274876369574248e-19,-1.7106644056548593e-07,1.3274876369574248e-19,1.2369290005820325e-06,0.0,3.83325560782236e-06,0.0005884833517484366,-0.01248514123149969,0.010393391363322735,0.0862373411655426,0.0,-0.00010197317169513553,0.028522266075015068,0.22470614314079285,0.0,-1.1779838800430298,0.0,-0.35533958673477173,0.0,-0.11698625236749649,0.0,-0.025156544521450996,0.00011168637865921482,-0.012492714449763298,0.010474619455635548,-0.003753609722480178,0.13933005928993225,-0.0019010199466720223,9894.7939453125,1.1097119498252868,0.0,0.0,1.9632266235351563,1882.9569091796875,44.163392028808595,0.0,0.0,107.76125,0.0,-0.0885738730430603,0.0885738730430603,10.414322853088379,3.0678811073303223,0.2945828692472827,0.9996895352696284,0.925339810595569,0.3092364813350518,1.1135416704473617e-06,0.0,0.5775924165109976,0.251963877146342,0.43623127649139504,0.14888882637023926,0.6085796356201172,4.087476880949903,-12583.65234375,-2.5172339155331067,-7862.985332677363,-1.5729116488652457,ok,,,48.2892517500004,512,0.02537035921669493,0.24186560607906912,0.4145528380749809,1.4926528930664062,-6.203041373218976,285.3622491218316,0.0,0.002478126738481768,0.0,0.0,4.929927349090576,0.0,0.12769782445931302,3.0,0.087563893536173,1.4926528930664062,0.0003219920575292476,0.0,4.929927349090576
7,0.0,0.08,3.2,11.0,0.08,11.0,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,11.0,22133.212890625,9233.5947265625,0.41718275481250117,3.9191818955359468,6.090617062341795,1.5540531735154142,3.9191818955359468,6.090617062341795,1.5540531735154142,1.9905775785446167,1.9905775785446167,0.550000011920929,1.9905775785446167,3.6192318825454737,0.550000011920929,0.17507044119563442,0.6336205224665427,3.6192318825454737,3.6192318825454737,48,48,48,0.0,48,48,48,0.0,0.0,1.2873307004945782e-16,-3.2183267512364455e-17,0.0,1.32695011330988e-16,0.007778708165053467,0.007778708165053467,0.007778708165053472,0.01347311775912348,0.0,0.0,0.0,0.0013654984069185253,0.0,0.0,621578306.8910241,6048.403626924825,11042.434082267284,4032.933716087341,0.36522144357318004,11042.434082267284,4032.933716087341,0.36522144357318004,0.004783813375979662,-0.05746368318796158,0.004783812910318375,0.05746367946267128,0.0006215784233063459,-0.008380812592804432,0.0006215783068910241,0.009073222987353802,0.0,-2.1910500602089204e-07,0.0,1.5001011008194318e-06,0.0,4.5273047712878035e-06,0.0006215784233063459,-0.008380593487798411,0.010977891273796558,0.052057065069675446,0.0,-0.00011295363219687715,0.030126292258501053,0.13423027098178864,0.0,-0.7042904496192932,0.0,-0.2196991741657257,0.0,-0.07718279957771301,0.0,-0.020642969757318497,0.00011796735634561628,-0.011294166557490826,0.011063686572015285,-0.004877309314906597,0.14716565608978271,-0.0032867921981960535,11039.0078125,1.2380367350578307,0.0,0.0,2.1882330322265626,3970.77587890625,16.133501243591308,0.0,0.0,46.0243359375,0.0,-0.05746368318796158,0.05746368318796158,11.0,5.5450944900512695,0.50409949909557,0.9996897178881252,0.9845874389323227,0.20027750981834597,2.695162584341538e-06,0.0,0.6100748552252129,0.36589441238109055,0.5997533077248666,0.15726232528686523,0.4392061233520508,2.79282480753662,-12899.6181640625,-2.5804397207566514,-7009.500366179943,-1.402180509337856,ok,,,55.34125766699435,512,0.019931505698903198,0.24501122492206157,0.41563401275352246,1.5315399169921875,5.445373771367923,286.18611402364513,0.0,0.002478126738481768,0.0,0.0,4.993472576141357,0.0,0.11491654614480558,3.0,0.08887170469485187,1.5315399169921875,0.0003219920575292476,0.0,4.993472576141357
8,0.0,0.08,3.3000000000000003,7.5,0.08,7.5,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,7.5,11284.2724609375,9179.8544921875,0.8135087595558496,4.041657499280213,9.535420205445893,2.3592845774645865,4.041657499280213,9.535420205445893,2.3592845774645865,0.9378746151924133,0.9378746151924133,0.375,0.9378746151924133,2.5009989738464355,0.375,0.1193662073189215,0.2985347620165636,2.5009989738464355,2.5009989738464355,48,48,48,0.0,48,48,48,0.0,0.0,1.262498967944103e-16,-3.156247419860257e-17,0.0,1.3013541492667054e-16,-0.09606705104945248,-0.09606705104945248,-0.09606705104945248,0.16639301335096474,0.0,0.0,0.0,0.0,0.0,0.0,464855864.4022992,8395.98456471123,5629.781313991547,4356.2995817947385,0.7737955239874312,5629.781313991547,4356.2995817947385,0.7737955239874312,0.003577640512958169,-0.056869834661483765,0.0035776407457888126,0.05686983838677406,0.0004648559261113405,-0.01011154055595398,0.0004648559261113405,0.01043946947902441,-6.637438184787124e-20,4.066708532630146e-07,1.3274876369574248e-19,1.2433873600622679e-06,9.10867593615225e-11,4.317074111357423e-06,0.0004648559261113406,-0.010111947226807243,0.007837289944291115,0.031109312549233437,0.0,-0.0004920272622257471,0.021484652534127235,0.06852734833955765,0.0,-0.3816366493701935,0.0,-0.1696946755051613,0.0,-0.0832865983247757,0.0,-0.03830700367689133,0.00013316843251232058,-0.023942578583955765,0.009524158202111721,-0.014479582197964191,0.10855498164892197,-0.012706918641924858,5628.06640625,0.5939488792419434,0.0,0.0,1.1209588623046876,4334.5615234375,3.1697649002075194,0.0,0.0,18.56829345703125,0.0,-0.056869834661483765,0.056869834661483765,7.5,4.870668411254883,0.6494224548339844,0.9996953864376072,0.9950099716630869,0.3263491540020204,3.328525972213735e-05,0.0,0.43560983297738076,0.38228801834151166,0.8775927203676372,0.10097002983093262,0.308286190032959,3.053244517696618,-2104.41796875,-0.4209677873074615,-1273.4817321968085,-0.2547472958985414,ok,,,62.19536845899711,512,0.023011833638114147,0.24127477484455487,0.4068341042151454,1.4560928344726562,-1.107748108761055,279.557391197437,0.0,0.002275830678197542,0.0,0.0,4.833467483520508,0.0,0.08162548947964567,2.449489742783178,0.0873603849665283,1.4560928344726562,0.0002957069916084927,0.0,4.833467483520508
9,0.0,0.08,3.3000000000000003,7.921782149867154,0.08,7.921782149867154,0,1,0.0,5000,sine_gordon,sponge,24,0.2,1.0,0.0,0.0,0.05,0.31,19,7.92178201675415,12589.162109375,7197.07958984375,0.5716885307628353,4.041657678295251,5.489427494704905,1.3582118852332676,4.041657678295251,5.489427494704905,1.3582118852332676,3.8349649906158447,3.8349649906158447,0.396089106798172,3.8349649906158447,9.682076393405989,0.396089106798172,0.12607907850356545,1.2207072696817514,9.682076393405989,9.682076393405989,48,48,48,0.0,48,48,48,0.0,0.0,0.0,2.829096769032066e-17,0.0,2.829096769032066e-17,-0.019028187152736627,-0.019028187152736655,-0.019028187152736596,0.032957786924469205,0.0,0.0,0.0,0.007720966300847958,0.0005057401507105649,0.0,490998285.8423176,12587.811164906649,6280.795429439544,1684.8459353637695,0.26825359212728156,6280.795429439544,1684.8459353637695,0.26825359212728156,0.003778838785365224,-0.07932525873184204,0.0037788390181958675,0.08207651227712631,0.0004909983836114407,-0.00950185488909483,0.0004909983836114407,0.011881050653755665,0.0,-3.2506046743720445e-07,1.9912314554361371e-19,9.438525816996247e-07,0.0,3.1193216195666893e-06,0.0004909983836114407,-0.009501529828627392,0.00827804021537304,0.09498665481805801,0.0,1.6897409295779653e-05,0.02269289828836918,0.25258952379226685,0.0,-1.355041892528534,0.0,-0.38201729655265804,0.0,-0.09557104110717773,0.0,-0.013606606051325798,0.00014065750292502344,0.00425445893779397,0.010059773921966553,0.007579234894365072,0.11465984582901001,0.00990542434155941,6278.8828125,0.6626317405700684,0.0,0.0,1.2499851989746094,1508.377685546875,54.15137481689453,0.0,0.0,122.316875,0.0,-0.07932525873184204,0.07932525873184204,7.92178201675415,2.921599864959717,0.3688058897329777,0.9996954817330017,0.8952614917999646,0.6560601360219596,6.592875960085853e-06,0.0,0.4601074805505666,0.2255138069049457,0.490132885114354,0.10664868354797363,1.1833648681640625,11.09591631885218,-5392.08251953125,-1.0786322303523204,-4595.949494075774,-0.9193737735698688,ok,,,69.1729123749974,512,0.020930485859107933,0.2428500976879611,0.40797930955759787,1.421030044555664,2.578712371325416,280.0462435871109,0.0,0.002073534617913316,0.0,0.0,4.77137565612793,0.0,0.10660657704151807,2.8284271247461903,0.08775876473886225,1.421030044555664,0.0002694219256877378,0.0,4.77137565612793
