# producer=CAELIX
# when=2026-02-13T00:14:54
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06A_oscillator_phase_drift_lensing/20260213_001453 --oscillator --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --osc-mass-iters 220512 --osc-mass-inject 2.0 --osc-steps 4000 --osc-burn 800 --osc-warm 400 --osc-sample-every 1 --osc-omega 0.15 --osc-amp 25.0 --osc-r-near 16 --osc-r-far 160 --osc-lens --osc-ray-count 128 --osc-ray-step 0.75 --osc-ray-max 640
# run_id=20260213_001453
# experiment=06A_oscillator_phase_drift_lensing
# artefact=oscillator_phase_drift
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# mass_iters=220512
# mass_inject=2.0
# mass_amp=1.0
# mass_boundary=zero
# mass_sponge_width=0
# mass_sponge_strength=0.0
# axis=x
# r_near=16
# r_far=160
# omega=0.15
# drive_amp=25.0
# steps=4000
# burn=800
# warm=400
# demod_window=256
# series_every=1
# artefact=oscillator_phase_series
t,phi_near_ac,phi_far_ac
566,-3.3033435344696045,-2.903094530105591
567,-6.308537483215332,-5.907421112060547
568,-9.185163497924805,-8.78130054473877
569,-11.865913391113281,-11.455676078796387
570,-14.286295890808105,-13.872450828552246
571,-16.396133422851562,-15.978620529174805
572,-18.147972106933594,-17.724712371826172
573,-19.501266479492188,-19.075420379638672
574,-20.42818832397461,-19.999845504760742
575,-20.906841278076172,-20.472774505615234
576,-20.923681259155273,-20.483510971069336
577,-20.47740936279297,-20.036861419677734
578,-19.58403205871582,-19.14417839050293
579,-18.26317596435547,-17.81847381591797
580,-16.539392471313477,-16.090818405151367
581,-14.453237533569336,-14.004828453063965
582,-12.052085876464844,-11.60594654083252
583,-9.389969825744629,-8.945556640625
584,-6.5270562171936035,-6.081637382507324
585,-3.529391050338745,-3.082975149154663
586,-0.4618489742279053,-0.01841394044458866
587,2.610494375228882,3.047315835952759
588,5.6130757331848145,6.046291828155518
589,8.477157592773438,8.909878730773926
590,11.14153003692627,11.57092571258545
591,13.547216415405273,13.971851348876953
592,15.639100074768066,16.05923080444336
593,17.36983871459961,17.78377342224121
594,18.702049255371094,19.110898971557617
595,19.601829528808594,20.010108947753906
596,20.050424575805664,20.45704460144043
597,20.042348861694336,20.441980361938477
598,19.57506561279297,19.969324111938477
599,18.65629768371582,19.050880432128906
600,17.307342529296875,17.701255798339844
601,15.561588287353516,15.95203971862793
602,13.456141471862793,13.846345901489258
603,11.038148880004883,11.429898262023926
604,8.364703178405762,8.75561809539795
605,5.491900444030762,5.881834506988525
606,2.483534097671509,2.876340866088867
607,-0.5894226431846619,-0.19170759618282318
608,-3.656223773956299,-3.2563514709472656
609,-6.651622295379639,-6.249861240386963
610,-9.509961128234863,-9.104911804199219
611,-12.16298770904541,-11.754364967346191
612,-14.552922248840332,-14.139525413513184
613,-16.62640953063965,-16.207185745239258
614,-18.334381103515625,-17.909711837768555
615,-19.639577865600586,-19.213712692260742
616,-20.515621185302734,-20.088119506835938
617,-20.942317962646484,-20.50761604309082
618,-20.9049015045166,-20.464111328125
619,-20.40666961669922,-19.964324951171875
620,-19.461917877197266,-19.01976776123047
621,-18.089683532714844,-17.64459228515625
622,-16.32084846496582,-15.871988296508789
623,-14.195664405822754,-13.74577808380127
624,-11.761205673217773,-11.310456275939941
625,-9.070009231567383,-8.620546340942383
626,-6.1861066818237305,-5.737549781799316
627,-3.176588296890259,-2.727158546447754
628,-0.10390684008598328,0.34488043189048767
629,2.9634737968444824,3.4102494716644287
630,5.954220771789551,6.397514820098877
631,8.8001070022583,9.241344451904297
632,11.438834190368652,11.878349304199219
633,13.810750007629395,14.24892520904541
634,15.861973762512207,16.298364639282227
635,17.550228118896484,17.980037689208984
636,18.83515167236328,19.261262893676758
637,19.684398651123047,20.111392974853516
638,20.080846786499023,20.506399154663086
639,20.01869773864746,20.438825607299805
640,19.49863624572754,19.914091110229492
641,18.52914047241211,18.944198608398438
642,17.133907318115234,17.54632568359375
643,15.343555450439453,15.7537841796875
644,13.197385787963867,13.608226776123047
645,10.746994018554688,11.154980659484863
646,8.04740047454834,8.452301025390625
647,5.156189441680908,5.562127113342285
648,2.136571168899536,2.546691656112671
649,-0.9393811225891113,-0.5282790660858154
650,-4.001910209655762,-3.5909223556518555
651,-6.9853196144104,-6.569267272949219
652,-9.82126235961914,-9.40075969696045
653,-12.44683837890625,-12.022762298583984
654,-14.804153442382812,-14.374601364135742
655,-16.838985443115234,-16.4027156829834
656,-18.50285530090332,-18.06121826171875
657,-19.760221481323242,-19.31608009338379
658,-20.586952209472656,-20.13821792602539
659,-20.960895538330078,-20.50741958618164
660,-20.872201919555664,-20.415664672851562
661,-20.324522018432617,-19.86517333984375
662,-19.330101013183594,-18.869596481323242
663,-17.910913467407227,-17.450397491455078
664,-16.0999755859375,-15.640508651733398
665,-13.939544677734375,-13.478397369384766
666,-11.473736763000488,-11.00979232788086
667,-8.7579345703125,-8.295785903930664
668,-5.857452869415283,-5.3986968994140625
669,-2.8363609313964844,-2.3790230751037598
670,0.2395009696483612,0.6977806091308594
671,3.301154613494873,3.7585861682891846
672,6.278132438659668,6.73164701461792
673,9.10546588897705,9.554356575012207
674,11.719021797180176,12.162210464477539
675,14.056607246398926,14.495838165283203
676,16.06914520263672,16.505741119384766
677,17.713361740112305,18.145061492919922
678,18.950090408325195,19.374862670898438
679,19.749324798583984,20.168367385864258
680,20.095149993896484,20.512306213378906
681,19.98137855529785,20.397459030151367
682,19.407882690429688,19.82174301147461
683,18.389780044555664,18.800657272338867
684,16.950185775756836,17.35832405090332
685,15.11826229095459,15.52660083770752
686,12.935402870178223,13.344982147216797
687,10.453595161437988,10.862211227416992
688,7.729512691497803,8.13637638092041
689,4.820114612579346,5.227487564086914
690,1.7917991876602173,2.201416015625
691,-1.2854670286178589,-0.8735801577568054
692,-4.344397068023682,-3.9288344383239746
693,-7.315191745758057,-6.895647048950195
694,-10.130210876464844,-9.708231925964355
695,-12.727349281311035,-12.30081844329834
696,-15.051263809204102,-14.617250442504883
697,-17.04724884033203,-16.608768463134766
698,-18.667234420776367,-18.22776222229004
699,-19.878293991088867,-19.435331344604492
700,-20.653764724731445,-20.205278396606445
701,-20.97526741027832,-20.524072647094727
702,-20.835433959960938,-20.382261276245117
703,-20.23792266845703,-19.780412673950195
704,-19.194896697998047,-18.734926223754883
705,-17.728775024414062,-17.268251419067383
706,-15.876859664916992,-15.413022994995117
707,-13.679838180541992,-13.212956428527832
708,-11.183565139770508,-10.718454360961914
709,-8.444671630859375,-7.982755184173584
710,-5.526471138000488,-5.064752101898193
711,-2.4949841499328613,-2.0346052646636963
712,0.5832816362380981,1.0391879081726074
713,3.6375010013580322,4.09079122543335
714,6.600463390350342,7.0518479347229
715,9.407747268676758,9.85499095916748
716,11.992905616760254,12.435678482055664
717,14.296716690063477,14.737037658691406
718,16.26949119567871,16.70685386657715
719,17.869359970092773,18.300676345825195
720,19.058238983154297,19.484481811523438
721,19.808191299438477,20.230592727661133
722,20.104042053222656,20.522029876708984
723,19.93716049194336,20.351757049560547
724,19.31227684020996,19.72522735595703
725,18.245647430419922,18.657711029052734
726,16.760475158691406,17.169775009155273
727,14.887194633483887,15.294527053833008
728,12.667928695678711,13.076024055480957
729,10.156434059143066,10.565330505371094
730,7.407546043395996,7.816719055175781
731,4.481898307800293,4.890629291534424
732,1.4460883140563965,1.855926513671875
733,-1.632912516593933,-1.2202651500701904
734,-4.686220645904541,-4.269407749176025
735,-7.643681049346924,-7.2212042808532715
736,-10.436685562133789,-10.010732650756836
737,-13.00600814819336,-12.577829360961914
738,-15.295557975769043,-14.864144325256348
739,-17.250593185424805,-16.81374740600586
740,-18.82736587524414,-18.38475799560547
741,-19.9912052154541,-19.545848846435547
742,-20.715978622436523,-20.268190383911133
743,-20.984983444213867,-20.534090042114258
744,-20.794004440307617,-20.33832359313965
745,-20.146982192993164,-19.685894012451172
746,-19.054580688476562,-18.591087341308594
747,-17.54361343383789,-17.079967498779297
748,-15.650506973266602,-15.187888145446777
749,-13.416547775268555,-12.953157424926758
750,-10.890303611755371,-10.425416946411133
751,-8.129119873046875,-7.664526462554932
752,-5.195723533630371,-4.732843399047852
753,-2.1540210247039795,-1.6948010921478271
754,0.9252206087112427,1.382606863975525
755,3.971752882003784,4.428532123565674
756,6.920490741729736,7.374298572540283
757,9.705596923828125,10.153899192810059
758,12.262179374694824,12.704472541809082
759,14.531611442565918,14.97042465209961
760,16.46563720703125,16.900779724121094
761,18.020294189453125,18.4520206451416
762,19.159570693969727,19.588436126708984
763,19.86018180847168,20.28384780883789
764,20.104995727539062,20.524169921875
765,19.886489868164062,20.303550720214844
766,19.210580825805664,19.626169204711914
767,18.09541893005371,18.506858825683594
768,16.564783096313477,16.972640991210938
769,14.650282859802246,15.059125900268555
770,12.397185325622559,12.806377410888672
771,9.855975151062012,10.26511001586914
772,7.082754611968994,7.4933905601501465
773,4.141027450561523,4.553038597106934
774,1.0976083278656006,1.5101009607315063
775,-1.9811089038848877,-1.5665878057479858
776,-5.027627944946289,-4.607792377471924
777,-7.96980094909668,-7.547275066375732
778,-10.741291999816895,-10.31698226928711
779,-13.282485008239746,-12.852350234985352
780,-15.535852432250977,-15.09974479675293
781,-17.450172424316406,-17.01049041748047
782,-18.982847213745117,-18.540231704711914
783,-20.099863052368164,-19.652524948120117
784,-20.7736873626709,-20.32308578491211
785,-20.990278244018555,-20.537248611450195
786,-20.74787712097168,-20.289432525634766
787,-20.04971694946289,-19.587553024291992
788,-18.909818649291992,-18.44679069519043
789,-17.35475730895996,-16.89049530029297
790,-15.420947074890137,-14.954278945922852
791,-13.1506986618042,-12.683621406555176
792,-10.594929695129395,-10.129937171936035
793,-7.8125715255737305,-7.347663402557373
794,-4.863498687744141,-4.399218559265137
795,-1.8137671947479248,-1.352107048034668
796,1.2654569149017334,1.7249857187271118
797,4.3045573234558105,4.762018203735352
798,7.23762321472168,7.6916303634643555
799,9.999730110168457,10.448407173156738
800,12.526451110839844,12.971134185791016
801,14.761932373046875,15.202946662902832
802,16.656057357788086,17.092248916625977
803,18.16475486755371,18.59749412536621
804,19.255556106567383,19.685375213623047
805,19.90546989440918,20.331552505493164
806,20.098915100097656,20.51992416381836
807,19.828760147094727,20.24591064453125
808,19.1028995513916,19.518383026123047
809,17.939558029174805,18.353103637695312
810,16.363113403320312,16.775131225585938
811,14.409146308898926,14.819989204406738
812,12.12160873413086,12.531953811645508
813,9.55115032196045,9.96197509765625
814,6.755067348480225,7.167293071746826
815,3.798414945602417,4.212830066680908
816,0.7483086585998535,1.1634587049484253
817,-2.3303143978118896,-1.9140087366104126
818,-5.367908954620361,-4.947783946990967
819,-8.294425010681152,-7.86880350112915
820,-11.044129371643066,-10.61359691619873
821,-13.555859565734863,-13.12251091003418
822,-15.773015975952148,-15.33679485321045
823,-17.645801544189453,-17.205854415893555
824,-19.134233474731445,-18.689329147338867
825,-20.202821731567383,-19.752172470092773
826,-20.825693130493164,-20.37099838256836
827,-20.991167068481445,-20.5340633392334
828,-20.696781158447266,-20.23741340637207
829,-19.9481258392334,-19.48505210876465
830,-18.760499954223633,-18.29381561279297
831,-17.16183090209961,-16.693952560424805
832,-15.187535285949707,-14.720026016235352
833,-12.881499290466309,-12.414562225341797
834,-10.29800033569336,-9.830279350280762
835,-7.49415397644043,-7.025363922119141
836,-4.530713081359863,-4.062951564788818
837,-1.4742008447647095,-1.0098053216934204
838,1.6041549444198608,2.0642642974853516
839,4.635147571563721,5.092097282409668
840,7.552738189697266,8.007493019104004
841,10.290210723876953,10.742608070373535
842,12.78675651550293,13.235177993774414
843,14.987083435058594,15.429665565490723
844,16.840177536010742,17.27794075012207
845,18.303295135498047,18.738182067871094
846,19.345279693603516,19.776933670043945
847,19.94485092163086,20.371824264526367
848,20.085866928100586,20.5086727142334
849,19.764442443847656,20.184616088867188
850,18.989238739013672,19.407203674316406
851,17.7772274017334,18.19390106201172
852,16.155811309814453,16.571762084960938
853,14.162076950073242,14.575881958007812
854,11.8410062789917,12.25284481048584
855,9.242019653320312,9.655407905578613
856,6.42400598526001,6.840763092041016
857,3.453484296798706,3.871835231781006
858,0.39570334553718567,0.8154072761535645
859,-2.681962490081787,-2.2589592933654785
860,-5.710018634796143,-5.283644676208496
861,-8.620034217834473,-8.190378189086914
862,-11.34734058380127,-10.912297248840332
863,-13.82995319366455,-13.389461517333984
864,-16.010469436645508,-15.566584587097168
865,-17.842559814453125,-17.394180297851562
866,-19.285951614379883,-18.830968856811523
867,-20.306062698364258,-19.846389770507812
868,-20.879070281982422,-20.417034149169922
869,-20.9936466217041,-20.5275936126709
870,-20.64794158935547,-20.177173614501953
871,-19.847993850708008,-19.374731063842773
872,-18.61339569091797,-18.13787269592285
873,-16.9715576171875,-16.493488311767578
874,-14.95693588256836,-14.47902774810791
875,-12.616315841674805,-12.140517234802246
876,-10.00391960144043,-9.528281211853027
877,-7.177947044372559,-6.702584266662598
878,-4.199524402618408,-3.7280313968658447
879,-1.1363352537155151,-0.6689332127571106
880,1.9414445161819458,2.4057016372680664
881,4.966128826141357,5.425398826599121
882,7.86875581741333,8.321582794189453
883,10.583430290222168,11.030811309814453
884,13.050792694091797,13.493181228637695
885,15.21663761138916,15.65213394165039
886,17.03001594543457,17.459484100341797
887,18.448898315429688,18.874414443969727
888,19.444204330444336,19.8640079498291
889,19.9931640625,20.40638542175293
890,20.08259391784668,20.491762161254883
891,19.711191177368164,20.117630004882812
892,18.88718605041504,19.290189743041992
893,17.628108978271484,18.029010772705078
894,15.962178230285645,16.362342834472656
895,13.929556846618652,14.328398704528809
896,11.574586868286133,11.972634315490723
897,8.947918891906738,9.346769332885742
898,6.110052585601807,6.511606216430664
899,3.125450372695923,3.529200553894043
900,0.060771405696868896,0.46693649888038635
901,-3.0157620906829834,-2.60440731048584
902,-6.033926963806152,-5.618658542633057
903,-8.92712688446045,-8.507993698120117
904,-11.631841659545898,-11.206490516662598
905,-14.08434772491455,-13.653435707092285
906,-16.22930908203125,-15.792720794677734
907,-18.020469665527344,-17.578100204467773
908,-19.417951583862305,-18.970415115356445
909,-20.388973236083984,-19.936403274536133
910,-20.911561965942383,-20.455482482910156
911,-20.974895477294922,-20.516347885131836
912,-20.575895309448242,-20.114683151245117
913,-19.72426986694336,-19.262348175048828
914,-18.440839767456055,-17.979585647583008
915,-16.753414154052734,-16.292081832885742
916,-14.698274612426758,-14.239890098571777
917,-12.322169303894043,-11.868439674377441
918,-9.680723190307617,-9.23096752166748
919,-6.831845760345459,-6.387919902801514
920,-3.839083671569824,-3.3998782634735107
921,-0.7707470655441284,-0.33700108528137207
922,2.305499315261841,2.7313663959503174
923,5.320739269256592,5.739619731903076
924,8.206021308898926,8.616618156433105
925,10.895610809326172,11.298665046691895
926,13.331565856933594,13.728670120239258
927,15.459903717041016,15.849441528320312
928,17.230405807495117,17.6123046875
929,18.6040096282959,18.979082107543945
930,19.550167083740234,19.91942024230957
931,20.04732322692871,20.41208267211914
932,20.084630966186523,20.445722579956055
933,19.662195205688477,20.01984977722168
934,18.789207458496094,19.144746780395508
935,17.48293113708496,17.83879852294922
936,15.774407386779785,16.131807327270508
937,13.703704833984375,14.063568115234375
938,11.31628704071045,11.678482055664062
939,8.665271759033203,9.029934883117676
940,5.810616493225098,6.179507732391357
941,2.8168864250183105,3.1915154457092285
942,-0.24959880113601685,0.1306104063987732
943,-3.318425416946411,-2.9348297119140625
944,-6.3201704025268555,-5.933721542358398
945,-9.189998626708984,-8.800846099853516
946,-11.863414764404297,-11.470664978027344
947,-14.278979301452637,-13.88129997253418
948,-16.382287979125977,-15.982280731201172
949,-18.127859115600586,-17.725736618041992
950,-19.47645378112793,-19.071956634521484
951,-20.397432327270508,-19.990367889404297
952,-20.871482849121094,-20.45870018005371
953,-20.88652801513672,-20.469154357910156
954,-20.441207885742188,-20.020753860473633
955,-19.54649543762207,-19.12232780456543
956,-18.22368621826172,-17.79555892944336
957,-16.501323699951172,-16.06889533996582
958,-14.41606616973877,-13.980955123901367
959,-12.016098976135254,-11.5799560546875
960,-9.355294227600098,-8.919733047485352
961,-6.49318265914917,-6.058584690093994
962,-3.495236873626709,-3.0606203079223633
963,-0.4287073016166687,0.005169619340449572
964,2.638564348220825,3.070094585418701
965,5.638184547424316,6.06585168838501
966,8.500226974487305,8.925408363342285
967,11.160542488098145,11.58564567565918
968,13.561552047729492,13.986238479614258
969,15.648795127868652,16.072139739990234
970,17.375566482543945,17.797311782836914
971,18.703458786010742,19.122800827026367
972,19.602537155151367,20.019453048706055
973,20.05177879333496,20.468862533569336
974,20.042192459106445,20.458261489868164
975,19.57565689086914,19.987503051757812
976,18.66037368774414,19.069067001342773
977,17.31597900390625,17.722187042236328
978,15.573588371276855,15.977853775024414
979,13.472655296325684,13.875354766845703
980,11.059791564941406,11.461485862731934
981,8.388855934143066,8.790972709655762
982,5.520185470581055,5.923175811767578
983,2.516456365585327,2.923940896987915
984,-0.5544096827507019,-0.13987770676612854
985,-3.6212596893310547,-3.199974298477173
986,-6.615566253662109,-6.18651008605957
987,-9.471346855163574,-9.03261947631836
988,-12.124276161193848,-11.673887252807617
989,-14.512953758239746,-14.053171157836914
990,-16.58421516418457,-16.116653442382812
991,-18.291519165039062,-17.816368103027344
992,-19.595672607421875,-19.11708641052246
993,-20.469322204589844,-19.988283157348633
994,-20.893747329711914,-20.409603118896484
995,-20.858308792114258,-20.374126434326172
996,-20.362749099731445,-19.881847381591797
997,-19.419879913330078,-18.942548751831055
