# producer=CAELIX
# when=2026-02-13T00:14:54
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06A_oscillator_phase_drift_lensing/20260213_001453 --oscillator --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --osc-mass-iters 220512 --osc-mass-inject 2.0 --osc-steps 4000 --osc-burn 800 --osc-warm 400 --osc-sample-every 1 --osc-omega 0.15 --osc-amp 25.0 --osc-r-near 16 --osc-r-far 160 --osc-lens --osc-ray-count 128 --osc-ray-step 0.75 --osc-ray-max 640
# run_id=20260213_001453
# experiment=06A_oscillator_phase_drift_lensing
# artefact=oscillator_lensing
# n=512
# alpha=0.005
# ray_count=128
# ray_span=80.0
# march_steps=640
# ds=0.75
# x0=-200.0
# y0=0.0
# theta0=0.0
ray_i,step,x,y,theta,phi,n
0.0,0.0,-199.25,-79.99999997291297,3.611603728229367e-08,0.0007910295389592648,1.0000039551476947
0.0,20.0,-184.2500000000024,-79.99999256085218,9.81161763372154e-07,0.0012500104383246613,1.0000062500521916
0.0,40.0,-169.25000000002603,-79.99996675233027,2.501146891949049e-06,0.0019202786206307446,1.0000096013931032
0.0,60.0,-154.25000000013083,-79.99991167738932,4.90070961294497e-06,0.0028837905920487262,1.0000144189529603
0.0,80.0,-139.2500000004789,-79.9998107952274,8.632858571369056e-06,0.0042414818192832585,1.0000212074090964
0.0,100.0,-124.25000000148137,-79.99963919403774,1.4362226030220954e-05,0.006112555880381865,1.000030562779402
0.0,120.0,-109.25000000413175,-79.99935977781965,2.3050021067034982e-05,0.008627880140751892,1.0000431394007037
0.0,140.0,-94.2500000107446,-79.99891800443885,3.60598829455486e-05,0.011913073866460523,1.0000595653693323
0.0,160.0,-79.25000002652914,-79.9982349830527,5.526447264513155e-05,0.016052202704556904,1.0000802610135229
0.0,180.0,-64.25000006276875,-79.99719938050242,8.308303185086075e-05,0.021019686556503294,1.0001050984327826
0.0,200.0,-49.25000014269406,-79.99566036423911,0.00012227635659154806,0.026570973609924692,1.0001328548680497
0.0,220.0,-34.250000310640075,-79.99342759200647,0.00017518033949547024,0.032112623947046025,1.0001605631197352
0.0,240.0,-19.250000641820208,-79.99028903273592,0.00024212847450786026,0.03665669305556776,1.0001832834652777
0.0,260.0,-4.250001242826926,-79.98605618013593,0.0003195922721878193,0.039053967519468456,1.0001952698375973
0.0,280.0,10.749997770826837,-79.9806276055408,0.00039990226661040134,0.03856223838990638,1.0001928111919496
0.0,300.0,25.749996317510977,-79.97403238529105,0.00047408160982844816,0.03534173222025284,1.0001767086611013
0.0,320.0,40.74999438201087,-79.96641698783128,0.0005358706051330683,0.03034065215394091,1.0001517032607696
0.0,340.0,55.74999201198159,-79.95798732199577,0.0005833780749888561,0.024704758671255506,1.0001235237933563
0.0,360.0,70.74998928877335,-79.94894993797848,0.0006179291006015283,0.019299821497448844,1.0000964991074872
0.0,380.0,85.7499862984946,-79.9394790568794,0.0006421613239101539,0.014591740727463656,1.0000729587036372
0.0,400.0,100.74998311582851,-79.92970792944129,0.0006587578131915825,0.01073845660474118,1.0000536922830237
0.0,420.0,115.74997979907192,-79.91973294084798,0.0006699357187823508,0.007719365587032402,1.000038596827935
0.0,440.0,130.7499763910468,-79.90962157453126,0.0006773639560974683,0.005431030350297292,1.0000271551517514
0.0,460.0,145.74997292204756,-79.89942012710776,0.0006822399581936947,0.0037432238608303935,1.0000187161193042
0.0,480.0,160.74996941297064,-79.88915990724692,0.0006854007677477991,0.002527695360757243,1.0000126384768038
0.0,500.0,175.7499658779592,-79.87886183684242,0.0006874219562700331,0.0016708215335997376,1.000008354107668
0.0,520.0,190.74996232643912,-79.86853974609758,0.0006886936732467777,0.001077954824701881,1.0000053897741235
0.0,540.0,205.7499587646139,-79.85820268977938,0.0006894766411155729,0.0006729652362127408,1.000003364826181
0.0,560.0,220.74995519653635,-79.8478565643212,0.0006899411952946963,0.0003959847102634325,1.0000019799235513
0.0,580.0,235.7499516248709,-79.83750523827774,0.000690194159254566,0.00020000420869902363,1.0000010000210435
0.0,600.0,250.7499480514416,-79.82715135650281,0.0006902964447219896,4.7115095901903645e-05,1.0000002355754796
0.0,620.0,265.7499444775666,-79.8167968289199,0.000690302368584495,0.0,1.0
0.0,640.0,279.9999410823807,-79.80696002094874,0.000690302368584495,0.0,1.0
1.0,0.0,-199.25,-78.74015745321901,3.612793123352322e-08,0.0008031665599596957,1.0000040158327999
1.0,20.0,-184.2500000000024,-78.74015003683505,9.818648057431177e-07,0.0012698041717210617,1.0000063490208586
1.0,40.0,-169.2500000000261,-78.74012420176524,2.504261456359239e-06,0.0019518433619711466,1.0000097592168098
1.0,60.0,-154.2500000001312,-78.7400690379325,4.910036946616357e-06,0.0029333042497880013,1.000014666521249
1.0,80.0,-139.250000000481,-78.73996791525872,8.65680845448892e-06,0.004318108713173106,1.0000215905435659
1.0,100.0,-124.25000000149029,-78.73979573326238,1.4418104038089592e-05,0.0062296636631323,1.0000311483183157
1.0,120.0,-109.25000000416577,-78.739515013393,2.317251454354056e-05,0.008804733050532199,1.0000440236652526
1.0,140.0,-94.25000001086306,-78.73907045748803,3.631692628859596e-05,0.01217679806633399,1.0000608839903318
1.0,160.0,-79.25000002691542,-78.7383817205523,5.5784913504864085e-05,0.0164394551753667,1.0000821972758769
1.0,180.0,-64.25000006396095,-78.73733476677648,8.410227592190334e-05,0.021576241274872635,1.0001078812063744
1.0,200.0,-49.25000014617859,-78.73577400348347,0.00012419508354735907,0.02734479084000835,1.0001367239542
1.0,220.0,-34.250000320199774,-78.73350146184947,0.00017860616119562528,0.03313433434371324,1.0001656716717187
1.0,240.0,-19.250000666011005,-78.73029465125731,0.00024781684831620275,0.03790607264197373,1.0001895303632098
1.0,260.0,-4.250001298070998,-78.72595414943115,0.00032818938714805406,0.04043270562869339,1.0002021635281435
1.0,280.0,10.749997658941936,-78.72037211209215,0.0004115923788219122,0.03991393476938119,1.0001995696738468
1.0,300.0,25.749996117277874,-78.71357948491467,0.0004884723311849504,0.03652297978508795,1.0001826148989255
1.0,320.0,40.749994061866516,-78.70573174294543,0.0005522314912363776,0.0312797798482456,1.0001563988992412
1.0,340.0,55.74999154566933,-78.69704600216701,0.0006009920032261737,0.025402291180308227,1.0001270114559015
1.0,360.0,70.7499886570534,-78.68773817675316,0.0006362677184178581,0.019795269447639215,1.000098976347238
1.0,380.0,85.7499854883419,-78.67798880630929,0.0006608935628457549,0.014933752814198578,1.000074668764071
1.0,400.0,100.74998211880819,-78.66793491005214,0.0006776951959292162,0.010970099967884967,1.0000548504998394
1.0,420.0,115.7499786098407,-78.65767495465346,0.0006889767671937043,0.007874048742592291,1.000039370243713
1.0,440.0,130.74997500625602,-78.64727752690365,0.0006964557935324895,0.005533063780310998,1.0000276653189015
1.0,460.0,145.7499713396105,-78.63678949018203,0.0007013557804371899,0.003809726196235928,1.0000190486309812
1.0,480.0,160.74996763159305,-78.62624243703331,0.0007045273567345469,0.002570487175452528,1.0000128524358773
1.0,500.0,175.74996389684247,-78.61565742768784,0.0007065530055932269,0.001697960965920464,1.0000084898048296
1.0,520.0,190.7499601450944,-78.60504835621234,0.000707826344389636,0.0010948586274189573,1.000005474293137
1.0,540.0,205.74995638274538,-78.59442430585275,0.0007086097130095495,0.0006832128709270263,1.0000034160643547
1.0,560.0,220.74995261396919,-78.58379118436648,0.0007090742350912078,0.0004018768653682792,1.000002009384327
1.0,580.0,235.74994884150652,-78.57315286373372,0.0007093270803483201,0.00020293303147698124,1.0000010146651575
1.0,600.0,250.74994506723203,-78.56251198881978,0.0007094293034472964,4.7799864303744623e-05,1.0000002389993214
1.0,620.0,265.7499412924998,-78.55187046841627,0.0007094352284028518,0.0,1.0
1.0,640.0,279.9999377064994,-78.54176101725977,0.0007094352284028518,0.0,1.0
2.0,0.0,-199.25,-77.48031493353781,3.6122824433266745e-08,0.0008153042239943651,1.00000407652112
2.0,20.0,-184.2500000000024,-77.48030751631492,9.820999214989146e-07,0.0012896129904412012,1.0000064480649522
2.0,40.0,-169.25000000002615,-77.48028166754514,2.506131669276879e-06,0.0019834599220894173,1.0000099172996104
2.0,60.0,-154.2500000001315,-77.48022644197073,4.916979635248653e-06,0.0029829535538301154,1.000014914767769
2.0,80.0,-139.25000000048266,-77.48012512754573,8.676596844533853e-06,0.00439504818232416,1.0000219752409116
2.0,100.0,-124.25000000149788,-77.4799524463453,1.4467221221621178e-05,0.006347464150696702,1.0000317373207535
2.0,120.0,-109.25000000419607,-77.47967055198333,2.3284536651839635e-05,0.008983025985274683,1.0000449151299264
2.0,140.0,-94.25000001097237,-77.47922340790399,3.65586632679751e-05,0.012443420848543073,1.0000622171042428
2.0,160.0,-79.25000002728225,-77.4785292243294,5.628522950094287e-05,0.0168323642060623,1.0000841618210303
2.0,180.0,-64.25000006511968,-77.47747124132889,8.509962886397414e-05,0.02214336998973709,1.0001107168499488
2.0,200.0,-49.25000014963385,-77.47588900572742,0.00012610179769146428,0.028137338357130712,1.0001406866917857
2.0,220.0,-34.25000032985125,-77.47357662962611,0.00018205737498522758,0.034186359355173335,1.000170931796776
2.0,240.0,-19.25000069082793,-77.47030060725376,0.000253612728883401,0.03919848725444356,1.0001959924362722
2.0,260.0,-4.250001355497886,-77.46584989429476,0.00033702208817770854,0.04186245013809467,1.0002093122506905
2.0,280.0,10.749997541477285,-77.46010969187796,0.00042366483751010806,0.041314909896926336,1.0002065745494846
2.0,300.0,25.749995905739524,-77.45311299238625,0.0005033569499214059,0.037743216745453396,1.0001887160837273
2.0,320.0,40.74999372251449,-77.44502493915556,0.000569149737927543,0.03224508618424786,1.0001612254309213
2.0,340.0,55.749991050652056,-77.43607453468516,0.0006191879067503763,0.026115470135094625,1.0001305773506755
2.0,360.0,70.74998798614558,-77.42648749212307,0.000655192121941179,0.020299376127092705,1.0001014968806354
2.0,380.0,85.74998462796896,-77.41645086788162,0.0006802082159243298,0.015280313007219996,1.000076401565036
2.0,400.0,100.74998106024191,-77.40610550598828,0.0006972099851063654,0.011204062592577998,1.000056020312963
2.0,420.0,115.74997734758432,-77.39555195940727,0.000708590755256791,0.008029871330678645,1.0000401493566533
2.0,440.0,130.74997353688036,-77.38485990323846,0.0007161173054829002,0.005635639533111252,1.0000281781976657
2.0,460.0,145.7499696609857,-77.37407675061507,0.0007210390468451791,0.0038764727845806523,1.000019382363923
2.0,480.0,160.74996574240157,-77.36323436508414,0.0007242199053557057,0.0026133807652682973,1.0000130669038263
2.0,500.0,175.7499617962739,-77.35235393570869,0.0007262490336894818,0.0017251384081901624,1.0000086256920409
2.0,520.0,190.74995783265268,-77.34144941406223,0.0007275233743907613,0.001111772288298396,1.0000055588614416
2.0,540.0,205.74995385813088,-77.33052990736866,0.0007283067785763015,0.0006934602846264545,1.000003467301423
2.0,560.0,220.7499498770049,-77.31960133200982,0.0007287710330502365,0.00040776630028100183,1.0000020388315014
2.0,580.0,235.7499458920929,-77.30866756140384,0.0007290236480043477,0.00020585943232463396,1.0000010292971617
2.0,600.0,250.74994190532084,-77.29773123909524,0.0007291257623591294,4.848395891126142e-05,1.0000002424197945
2.0,620.0,265.74993791807844,-77.28679427190846,0.0007291316859367125,0.0,1.0
2.0,640.0,279.9999341301933,-77.27640414630449,0.0007291316859367125,0.0,1.0
